[rosmaster.main][INFO] 2019-06-04 15:57:18,628: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-04 15:57:18,628: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-04 15:57:18,633: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-04 15:57:18,634: Started XML-RPC server [http://10.0.0.166:11311/]
[rosmaster.master][INFO] 2019-06-04 15:57:18,635: Master initialized: port[11311], uri[http://10.0.0.166:11311/]
[xmlrpc][INFO] 2019-06-04 15:57:18,636: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-04 15:57:18,721: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:57:18,725: +PARAM [/roslaunch/uris/host_10_0_0_166__34104] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:57:19,230: +PARAM [/STM2-CFG35/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:57:19,232: +SERVICE [/rosout/get_loggers] /rosout http://10.0.0.166:35896/
[rosmaster.master][INFO] 2019-06-04 15:57:19,232: +PARAM [/STM2-CFG32/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:57:19,234: +PARAM [/STM2-CFG07/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:57:19,235: +PARAM [/STM2-CFG07/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:57:19,235: +PARAM [/STM2-CFG03/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:57:19,236: +SERVICE [/rosout/set_logger_level] /rosout http://10.0.0.166:35896/
[rosmaster.master][INFO] 2019-06-04 15:57:19,237: +PARAM [/STM2-CFG30/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:57:19,238: +PARAM [/STM2-CFG32/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:57:19,238: +PARAM [/STM2-CFG34/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:57:19,239: +PARAM [/STM2-CFG37/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:57:19,241: +PARAM [/STM2-CFG33/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:57:19,242: +PARAM [/STM2/retry] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:57:19,243: +PARAM [/STM2-CFG31/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:57:19,243: +PARAM [/STM2-CFG38/ioPorts] by /roslaunch
