[rosmaster.main][INFO] 2019-06-03 09:25:06,776: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-03 09:25:06,776: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-03 09:25:06,781: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-03 09:25:06,782: Started XML-RPC server [http://10.0.0.166:11311/]
[xmlrpc][INFO] 2019-06-03 09:25:06,782: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-03 09:25:06,783: Master initialized: port[11311], uri[http://10.0.0.166:11311/]
[rosmaster.master][INFO] 2019-06-03 09:25:06,869: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:06,875: +PARAM [/roslaunch/uris/host_10_0_0_166__39880] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,317: +SERVICE [/rosout/get_loggers] /rosout http://10.0.0.166:35933/
[rosmaster.master][INFO] 2019-06-03 09:25:07,384: +SERVICE [/rosout/set_logger_level] /rosout http://10.0.0.166:35933/
[rosmaster.master][INFO] 2019-06-03 09:25:07,393: +PARAM [/STM2-CFG35/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,394: +PARAM [/STM2-CFG32/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,396: +PARAM [/STM2-CFG07/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,396: +PARAM [/STM2-CFG07/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,397: +PARAM [/STM2-CFG03/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,398: +PARAM [/STM2-CFG30/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,400: +PUB [/rosout_agg] /rosout http://10.0.0.166:35933/
[rosmaster.master][INFO] 2019-06-03 09:25:07,400: +PARAM [/STM2-CFG32/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,401: +PARAM [/STM2-CFG34/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,401: +PARAM [/STM2-CFG37/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,402: +PARAM [/STM2-CFG33/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,403: +PARAM [/STM2/retry] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,403: +PARAM [/STM2-CFG31/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,404: +PARAM [/STM2-CFG38/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,404: +PARAM [/STM2-CFG30/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,406: +PARAM [/STM2-CFG62/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,406: +PARAM [/STM2-CFG62/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,407: +PARAM [/STM2-CFG42/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,407: +PARAM [/STM2-CFG04/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,408: +PARAM [/STM2-CFG39/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,410: +PARAM [/STM2-CFG32/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,412: +PARAM [/STM2-CFG40/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,414: +PARAM [/STM2-CFG41/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,415: +PARAM [/STM2-CFG30/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,416: +PARAM [/STM2-CFG61/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,416: +PARAM [/STM2-CFG33/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,416: +PARAM [/STM2-CFG61/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,420: +SUB [/rosout] /rosout http://10.0.0.166:35933/
[rosmaster.master][INFO] 2019-06-03 09:25:07,420: +PARAM [/STM2/QUEUE2/name] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,421: +PARAM [/STM2-CFG37/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,422: +PARAM [/STM2/QUEUE2/rw] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,422: +PARAM [/STM2-CFG04/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,423: +PARAM [/STM1/port] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,423: +PARAM [/STM2-CFG03/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,423: +PARAM [/STM2-CFG41/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,424: +PARAM [/STM2-CFG35/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,424: +PARAM [/STM2-CFG40/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,424: +PARAM [/STM2-CFG34/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,424: +PARAM [/STM1/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,425: +PARAM [/STM2-CFG60/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,425: +PARAM [/STM1/QUEUE1/rw] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,425: +PARAM [/STM2-CFG05/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,426: +PARAM [/STM2-CFG06/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,426: +PARAM [/STM2-CFG81/prot_in] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,426: +PARAM [/STM2-CFG81/prot_out] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,426: +PARAM [/STM2-CFG03/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,427: +PARAM [/STM4/listener] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,427: +PARAM [/STM2-CFG38/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,427: +PARAM [/STM2-CFG63/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,428: +PARAM [/STM2-CFG60/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,428: +PARAM [/STM2/QUEUE2/type] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,428: +PARAM [/STM2-CFG08/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,428: +PARAM [/STM2-CFG40/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,429: +PARAM [/STM2-CFG30/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,429: +PARAM [/STM2-CFG07/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,429: +PARAM [/STM2-CFG63/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,429: +PARAM [/STM2-CFG41/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,430: +PARAM [/STM2-CFG04/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,430: +PARAM [/STM2-CFG35/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,430: +PARAM [/STM2-CFG36/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,431: +PARAM [/STM4/port] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,431: +PARAM [/STM2-CFG06/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,431: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,431: +PARAM [/STM2-CFG41/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,432: +PARAM [/STM2-CFG63/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,432: +PARAM [/STM2-CFG39/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:25:07,432: +PARAM [/STM2-CFG08/msgId] by /roslaunch
