[rosmaster.main][INFO] 2017-10-18 07:32:45,005: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-18 07:32:45,006: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-18 07:32:45,012: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-18 07:32:45,015: Started XML-RPC server [http://10.0.0.116:11311/]
[xmlrpc][INFO] 2017-10-18 07:32:45,017: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-18 07:32:45,018: Master initialized: port[11311], uri[http://10.0.0.116:11311/]
[rosmaster.master][INFO] 2017-10-18 07:32:45,112: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:32:45,118: +PARAM [/roslaunch/uris/host_10_0_0_116__34591] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:32:45,642: +PARAM [/camera/driver/color_fps] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:32:45,645: +PARAM [/mavros/imu/linear_acceleration_stdev] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:32:45,645: +PARAM [/cone_finder/height_3ft] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:32:45,646: +PARAM [/mavros/image/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:32:45,646: +PARAM [/mavros/setpoint_attitude/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:32:45,646: +PARAM [/camera/disparity_registered_sw/max_range] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:32:45,648: +PARAM [/camera/disparity_registered_sw/min_range] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:32:45,648: +SERVICE [/rosout/get_loggers] /rosout http://10.0.0.116:40295/
[rosmaster.master][INFO] 2017-10-18 07:32:45,649: +PARAM [/cone_finder/max_throttle_on_road] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:32:45,651: +PARAM [/camera/driver/enable_depth] by /roslaunch
