[rosmaster.main][INFO] 2019-06-03 14:54:52,399: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-03 14:54:52,400: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-03 14:54:52,404: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-03 14:54:52,405: Started XML-RPC server [http://10.0.0.166:11311/]
[rosmaster.master][INFO] 2019-06-03 14:54:52,405: Master initialized: port[11311], uri[http://10.0.0.166:11311/]
[xmlrpc][INFO] 2019-06-03 14:54:52,406: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-03 14:54:52,492: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:52,498: +PARAM [/roslaunch/uris/host_10_0_0_166__37353] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:52,999: +SERVICE [/rosout/get_loggers] /rosout http://10.0.0.166:41384/
[rosmaster.master][INFO] 2019-06-03 14:54:53,026: +PARAM [/STM2-CFG35/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,027: +SERVICE [/rosout/set_logger_level] /rosout http://10.0.0.166:41384/
[rosmaster.master][INFO] 2019-06-03 14:54:53,028: +PARAM [/STM2-CFG32/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,029: +PARAM [/STM2-CFG07/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,030: +PARAM [/STM2-CFG07/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,031: +PARAM [/STM2-CFG03/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,032: +PARAM [/STM2-CFG30/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,033: +PARAM [/STM2-CFG32/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,033: +PARAM [/STM2-CFG34/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,034: +PARAM [/STM2-CFG37/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,035: +PARAM [/STM2-CFG33/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,036: +PUB [/rosout_agg] /rosout http://10.0.0.166:41384/
[rosmaster.master][INFO] 2019-06-03 14:54:53,036: +PARAM [/STM2/retry] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,038: +PARAM [/STM2-CFG31/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,039: +PARAM [/STM2-CFG38/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,040: +PARAM [/STM2-CFG30/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,041: +PARAM [/STM2-CFG62/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,042: +PARAM [/STM2-CFG62/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,042: +PARAM [/STM2-CFG42/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,044: +PARAM [/STM2-CFG04/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,045: +PARAM [/STM2-CFG39/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,046: +PARAM [/STM2-CFG32/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,048: +PARAM [/STM2-CFG40/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,049: +PARAM [/STM2-CFG41/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,050: +PARAM [/STM2-CFG30/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,050: +PARAM [/STM2-CFG61/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,051: +PARAM [/STM2-CFG33/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,053: +PARAM [/STM2-CFG61/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,054: +PARAM [/STM2/QUEUE2/name] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,056: +PARAM [/STM2-CFG37/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,057: +PARAM [/STM2/QUEUE2/rw] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,057: +PARAM [/STM2-CFG04/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,058: +PARAM [/STM1/port] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,058: +PARAM [/STM2-CFG03/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,058: +PARAM [/STM2-CFG41/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,059: +PARAM [/STM2-CFG35/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,059: +PARAM [/STM2-CFG40/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,059: +PARAM [/STM2-CFG34/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,060: +PARAM [/STM1/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,060: +PARAM [/STM2-CFG60/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,060: +PARAM [/STM1/QUEUE1/rw] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,060: +PARAM [/STM2-CFG05/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,061: +PARAM [/STM2-CFG06/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,061: +PARAM [/STM2-CFG81/prot_in] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,061: +PARAM [/STM2-CFG81/prot_out] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,062: +PARAM [/STM2-CFG03/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,063: +PARAM [/STM4/listener] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,063: +PARAM [/STM2-CFG38/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,065: +SUB [/rosout] /rosout http://10.0.0.166:41384/
[rosmaster.master][INFO] 2019-06-03 14:54:53,065: +PARAM [/STM2-CFG63/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,067: +PARAM [/STM2-CFG60/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,067: +PARAM [/STM2/QUEUE2/type] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,068: +PARAM [/STM2-CFG08/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,068: +PARAM [/STM2-CFG40/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,068: +PARAM [/STM2-CFG30/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,069: +PARAM [/STM2-CFG07/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,069: +PARAM [/STM2-CFG63/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,069: +PARAM [/STM2-CFG41/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,070: +PARAM [/STM2-CFG04/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,070: +PARAM [/STM2-CFG35/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,070: +PARAM [/STM2-CFG36/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,070: +PARAM [/STM4/port] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,071: +PARAM [/STM2-CFG06/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,071: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,071: +PARAM [/STM2-CFG41/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,072: +PARAM [/STM2-CFG63/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,072: +PARAM [/STM2-CFG39/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,072: +PARAM [/STM2-CFG08/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,072: +PARAM [/STM2-CFG42/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,073: +PARAM [/STM4/type] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,073: +PARAM [/STM2-CFG39/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,073: +PARAM [/STM2/port] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,074: +PARAM [/STM1/host] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,074: +PARAM [/STM2-CFG31/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,075: +PARAM [/STM2-CFG33/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,075: +PARAM [/STM2-CFG04/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,075: +PARAM [/STM1/QUEUE2/rw] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,076: +PARAM [/STM4/host] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,076: +PARAM [/STM2-CFG41/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,076: +PARAM [/STM2-CFG03/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,076: +PARAM [/STM1/retry] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,077: +PARAM [/STM2/QUEUE1/rw] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,077: +PARAM [/STM2-CFG37/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,077: +PARAM [/STM2-CFG30/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,078: +PARAM [/STM2-CFG60/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,078: +PARAM [/STM2-CFG07/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,078: +PARAM [/STM2-CFG40/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,079: +PARAM [/STM2-CFG33/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,079: +PARAM [/STM2-CFG38/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,079: +PARAM [/STM2-CFG63/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,079: +PARAM [/STM2-CFG32/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,080: +PARAM [/STM2-CFG06/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,080: +PARAM [/STM2-CFG41/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,080: +PARAM [/STM2-CFG06/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,080: +PARAM [/STM2-CFG63/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,081: +PARAM [/STM2-CFG42/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,081: +PARAM [/STM2-CFG36/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,081: +PARAM [/STM2-CFG81/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,082: +PARAM [/STM2-CFG35/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,082: +PARAM [/STM2/QUEUE1/type] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,082: +PARAM [/STM2-CFG62/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,083: +PARAM [/STM2/timeout] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,083: +PARAM [/STM2-CFG05/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,083: +PARAM [/STM1/QUEUE1/name] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,084: +PARAM [/STM2-CFG33/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,084: +PARAM [/STM2-CFG08/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,084: +PARAM [/STM2-CFG62/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,085: +PARAM [/STM2-CFG34/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,085: +PARAM [/STM2-CFG35/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,085: +PARAM [/STM2-CFG30/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,086: +PARAM [/STM2-CFG34/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,086: +PARAM [/STM2-CFG62/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,086: +PARAM [/STM2-CFG42/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,087: +PARAM [/STM2-CFG61/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,087: +PARAM [/STM4/retry] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,088: +PARAM [/STM2-CFG38/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,088: +PARAM [/STM2-CFG81/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,088: +PARAM [/STM2/type] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,088: +PARAM [/STM2-CFG31/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,089: +PARAM [/STM2-CFG05/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,089: +PARAM [/STM2-CFG31/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,089: +PARAM [/STM2-CFG35/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,090: +PARAM [/STM2-CFG36/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,090: +PARAM [/STM2-CFG32/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,090: +PARAM [/STM2-CFG61/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,091: +PARAM [/STM2-CFG07/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,091: +PARAM [/STM2/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,092: +PARAM [/STM2-CFG03/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,092: +PARAM [/STM2-CFG37/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,092: +PARAM [/STM1/QUEUE1/type] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,092: +PARAM [/STM2-CFG04/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,093: +PARAM [/STM2-CFG36/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,093: +PARAM [/STM1/QUEUE2/type] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,093: +PARAM [/STM2-CFG40/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,093: +PARAM [/STM1/type] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,094: +PARAM [/STM2-CFG36/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,094: +PARAM [/STM2-CFG40/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,094: +PARAM [/STM2-CFG39/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,095: +PARAM [/STM2-CFG60/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,095: +PARAM [/STM4/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,095: +PARAM [/STM2-CFG06/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,096: +PARAM [/STM2-CFG36/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,096: +PARAM [/STM2-CFG61/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,096: +PARAM [/STM2-CFG37/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,096: +PARAM [/STM2-CFG05/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,097: +PARAM [/STM2-CFG08/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,097: +PARAM [/STM2-CFG81/rate] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,097: +PARAM [/STM2-CFG38/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,098: +PARAM [/STM2-CFG34/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,098: +PARAM [/STM2-CFG39/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,098: +PARAM [/STM2-CFG38/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,099: +PARAM [/STM2-CFG62/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,099: +PARAM [/STM2-CFG42/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,099: +PARAM [/STM2-CFG05/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,100: +PARAM [/STM2-CFG31/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,100: +PARAM [/STM2-CFG32/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,100: +PARAM [/STM2-CFG04/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,101: +PARAM [/STM2/QUEUE1/name] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,101: +PARAM [/STM2-CFG63/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,101: +PARAM [/STM2-CFG03/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,102: +PARAM [/STM2-CFG08/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,102: +PARAM [/STM2-CFG60/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,102: +PARAM [/STM2-CFG34/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,103: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,103: +PARAM [/STM2-CFG07/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,103: +PARAM [/STM2-CFG37/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,104: +PARAM [/STM2-CFG61/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,104: +PARAM [/STM2-CFG60/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,104: +PARAM [/STM2-CFG81/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,105: +PARAM [/STM2-CFG05/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,105: +PARAM [/STM1/QUEUE2/name] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,105: +PARAM [/STM2-CFG08/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,106: +PARAM [/STM2-CFG31/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,106: +PARAM [/STM2-CFG39/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,107: +PARAM [/STM2-CFG06/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:54:53,107: +PARAM [/STM2-CFG42/class] by /roslaunch
