[rosmaster.main][INFO] 2019-06-02 16:07:50,933: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-02 16:07:50,934: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-02 16:07:50,939: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-02 16:07:50,940: Started XML-RPC server [http://10.0.0.166:11311/]
[rosmaster.master][INFO] 2019-06-02 16:07:50,940: Master initialized: port[11311], uri[http://10.0.0.166:11311/]
[xmlrpc][INFO] 2019-06-02 16:07:50,941: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-02 16:07:51,025: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,030: +PARAM [/roslaunch/uris/host_10_0_0_166__35686] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,560: +SERVICE [/rosout/get_loggers] /rosout http://10.0.0.166:44672/
[rosmaster.master][INFO] 2019-06-02 16:07:51,565: +PARAM [/STM2-CFG35/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,565: +PARAM [/STM2-CFG32/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,566: +PARAM [/STM2-CFG07/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,567: +PARAM [/STM2-CFG07/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,567: +PARAM [/STM2-CFG03/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,568: +PARAM [/STM2-CFG30/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,568: +PARAM [/STM2-CFG32/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,569: +PARAM [/STM2-CFG34/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,570: +SERVICE [/rosout/set_logger_level] /rosout http://10.0.0.166:44672/
[rosmaster.master][INFO] 2019-06-02 16:07:51,570: +PARAM [/STM2-CFG37/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,571: +PARAM [/STM2-CFG33/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,572: +PARAM [/STM2/retry] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,572: +PARAM [/STM2-CFG31/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,573: +PARAM [/STM2-CFG38/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,575: +PARAM [/STM2-CFG30/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,575: +PARAM [/STM2-CFG62/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,576: +PARAM [/STM2-CFG62/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,577: +PARAM [/STM2-CFG42/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,579: +PUB [/rosout_agg] /rosout http://10.0.0.166:44672/
[rosmaster.master][INFO] 2019-06-02 16:07:51,579: +PARAM [/STM2-CFG04/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,580: +PARAM [/STM2-CFG39/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,581: +PARAM [/STM2-CFG32/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,582: +PARAM [/STM2-CFG40/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,583: +PARAM [/STM2-CFG41/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,584: +PARAM [/STM2-CFG30/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,585: +PARAM [/STM2-CFG61/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,587: +PARAM [/STM2-CFG33/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,588: +PARAM [/STM2-CFG61/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,589: +PARAM [/STM2/QUEUE2/name] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,590: +PARAM [/STM2-CFG37/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,592: +PARAM [/STM2/QUEUE2/rw] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,593: +PARAM [/STM2-CFG04/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,594: +PARAM [/STM1/port] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,596: +PARAM [/STM2-CFG03/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,597: +PARAM [/STM2-CFG41/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,597: +PARAM [/STM2-CFG35/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,598: +PARAM [/STM2-CFG40/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,600: +PARAM [/STM2-CFG34/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,600: +SUB [/rosout] /rosout http://10.0.0.166:44672/
[rosmaster.master][INFO] 2019-06-02 16:07:51,600: +PARAM [/STM1/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,601: +PARAM [/STM2-CFG60/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,602: +PARAM [/STM1/QUEUE1/rw] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,602: +PARAM [/STM2-CFG05/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,603: +PARAM [/STM2-CFG06/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,603: +PARAM [/STM2-CFG81/prot_in] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,603: +PARAM [/STM2-CFG81/prot_out] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,603: +PARAM [/STM2-CFG03/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,604: +PARAM [/STM4/listener] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,604: +PARAM [/STM2-CFG38/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,604: +PARAM [/STM2-CFG63/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,605: +PARAM [/STM2-CFG60/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,605: +PARAM [/STM2/QUEUE2/type] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,605: +PARAM [/STM2-CFG08/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,605: +PARAM [/STM2-CFG40/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,606: +PARAM [/STM2-CFG30/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,606: +PARAM [/STM2-CFG07/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,606: +PARAM [/STM2-CFG63/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,606: +PARAM [/STM2-CFG41/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,607: +PARAM [/STM2-CFG04/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,607: +PARAM [/STM2-CFG35/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,607: +PARAM [/STM2-CFG36/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,608: +PARAM [/STM4/port] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,608: +PARAM [/STM2-CFG06/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,608: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,609: +PARAM [/STM2-CFG41/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,609: +PARAM [/STM2-CFG63/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,609: +PARAM [/STM2-CFG39/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,610: +PARAM [/STM2-CFG08/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,610: +PARAM [/STM2-CFG42/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,610: +PARAM [/STM4/type] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,610: +PARAM [/STM2-CFG39/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,611: +PARAM [/STM2/port] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,611: +PARAM [/STM1/host] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,611: +PARAM [/STM2-CFG31/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,612: +PARAM [/STM2-CFG33/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,612: +PARAM [/STM2-CFG04/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,612: +PARAM [/STM1/QUEUE2/rw] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,613: +PARAM [/STM4/host] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,613: +PARAM [/STM2-CFG41/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,613: +PARAM [/STM2-CFG03/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,614: +PARAM [/STM1/retry] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,614: +PARAM [/STM2/QUEUE1/rw] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,614: +PARAM [/STM2-CFG37/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,615: +PARAM [/STM2-CFG30/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,615: +PARAM [/STM2-CFG60/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,615: +PARAM [/STM2-CFG07/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,615: +PARAM [/STM2-CFG40/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,616: +PARAM [/STM2-CFG33/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,616: +PARAM [/STM2-CFG38/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,616: +PARAM [/STM2-CFG63/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,616: +PARAM [/STM2-CFG32/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,617: +PARAM [/STM2-CFG06/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,617: +PARAM [/STM2-CFG41/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,617: +PARAM [/STM2-CFG06/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,618: +PARAM [/STM2-CFG63/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,618: +PARAM [/STM2-CFG42/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,618: +PARAM [/STM2-CFG36/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,618: +PARAM [/STM2-CFG81/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,619: +PARAM [/STM2-CFG35/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,619: +PARAM [/STM2/QUEUE1/type] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,619: +PARAM [/STM2-CFG62/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,619: +PARAM [/STM2/timeout] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,620: +PARAM [/STM2-CFG05/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,620: +PARAM [/STM1/QUEUE1/name] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,620: +PARAM [/STM2-CFG33/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,621: +PARAM [/STM2-CFG08/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,621: +PARAM [/STM2-CFG62/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,621: +PARAM [/STM2-CFG34/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,621: +PARAM [/STM2-CFG35/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,622: +PARAM [/STM2-CFG30/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,622: +PARAM [/STM2-CFG34/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,622: +PARAM [/STM2-CFG62/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,623: +PARAM [/STM2-CFG42/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,623: +PARAM [/STM2-CFG61/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,623: +PARAM [/STM4/retry] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,623: +PARAM [/STM2-CFG38/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,624: +PARAM [/STM2-CFG81/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,624: +PARAM [/STM2/type] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,624: +PARAM [/STM2-CFG31/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,625: +PARAM [/STM2-CFG05/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,625: +PARAM [/STM2-CFG31/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,625: +PARAM [/STM2-CFG35/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,625: +PARAM [/STM2-CFG36/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,626: +PARAM [/STM2-CFG32/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,626: +PARAM [/STM2-CFG61/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,626: +PARAM [/STM2-CFG07/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,627: +PARAM [/STM2/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,627: +PARAM [/STM2-CFG03/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,627: +PARAM [/STM2-CFG37/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,627: +PARAM [/STM1/QUEUE1/type] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,628: +PARAM [/STM2-CFG04/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,628: +PARAM [/STM2-CFG36/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,628: +PARAM [/STM1/QUEUE2/type] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,628: +PARAM [/STM2-CFG40/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,629: +PARAM [/STM1/type] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,629: +PARAM [/STM2-CFG36/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,629: +PARAM [/STM2-CFG40/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,630: +PARAM [/STM2-CFG39/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,630: +PARAM [/STM2-CFG60/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,630: +PARAM [/STM4/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,630: +PARAM [/STM2-CFG06/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,631: +PARAM [/STM2-CFG36/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,631: +PARAM [/STM2-CFG61/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,631: +PARAM [/STM2-CFG37/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,632: +PARAM [/STM2-CFG05/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,632: +PARAM [/STM2-CFG08/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,632: +PARAM [/STM2-CFG81/rate] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,632: +PARAM [/STM2-CFG38/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,633: +PARAM [/STM2-CFG34/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,633: +PARAM [/STM2-CFG39/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,633: +PARAM [/STM2-CFG38/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,633: +PARAM [/STM2-CFG62/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:07:51,634: +PARAM [/STM2-CFG42/id] by /roslaunch
