[rosmaster.main][INFO] 2019-06-01 06:07:47,139: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-01 06:07:47,139: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-01 06:07:47,142: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2019-06-01 06:07:47,144: Master initialized: port[11311], uri[http://10.0.0.166:11311/]
[xmlrpc][INFO] 2019-06-01 06:07:47,143: Started XML-RPC server [http://10.0.0.166:11311/]
[xmlrpc][INFO] 2019-06-01 06:07:47,144: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-01 06:07:47,226: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,231: +PARAM [/roslaunch/uris/host_10_0_0_166__33626] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,759: +PARAM [/STM2-CFG35/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,760: +SERVICE [/rosout/get_loggers] /rosout http://10.0.0.166:39569/
[rosmaster.master][INFO] 2019-06-01 06:07:47,761: +PARAM [/STM2-CFG32/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,762: +PARAM [/STM2-CFG07/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,763: +PARAM [/STM2-CFG07/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,764: +PARAM [/STM2-CFG03/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,764: +PARAM [/STM2-CFG30/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,766: +SERVICE [/rosout/set_logger_level] /rosout http://10.0.0.166:39569/
[rosmaster.master][INFO] 2019-06-01 06:07:47,766: +PARAM [/STM2-CFG32/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,767: +PARAM [/STM2-CFG34/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,769: +PARAM [/STM2-CFG37/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,770: +PARAM [/STM2-CFG33/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,771: +PARAM [/STM2/retry] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,772: +PARAM [/STM2-CFG31/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,772: +PARAM [/STM2-CFG38/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,773: +PARAM [/STM2-CFG30/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,775: +PUB [/rosout_agg] /rosout http://10.0.0.166:39569/
[rosmaster.master][INFO] 2019-06-01 06:07:47,776: +PARAM [/STM2-CFG62/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,776: +PARAM [/STM2-CFG62/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,779: +PARAM [/STM2-CFG42/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,779: +PARAM [/STM2-CFG04/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,781: +PARAM [/STM2-CFG39/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,782: +PARAM [/STM2-CFG32/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,784: +PARAM [/STM2-CFG40/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,785: +PARAM [/STM2-CFG41/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,786: +PARAM [/STM2-CFG30/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,788: +PARAM [/STM2-CFG61/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,790: +PARAM [/STM2-CFG33/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,790: +PARAM [/STM2-CFG61/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,791: +PARAM [/STM2/QUEUE2/name] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,792: +SUB [/rosout] /rosout http://10.0.0.166:39569/
[rosmaster.master][INFO] 2019-06-01 06:07:47,793: +PARAM [/STM2-CFG37/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,794: +PARAM [/STM2/QUEUE2/rw] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,795: +PARAM [/STM2-CFG04/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,795: +PARAM [/STM1/port] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,795: +PARAM [/STM2-CFG03/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,796: +PARAM [/STM2-CFG41/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,796: +PARAM [/STM2-CFG35/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,796: +PARAM [/STM2-CFG40/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,797: +PARAM [/STM2-CFG34/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,797: +PARAM [/STM1/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,797: +PARAM [/STM2-CFG60/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,798: +PARAM [/STM1/QUEUE1/rw] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,798: +PARAM [/STM2-CFG05/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,798: +PARAM [/STM2-CFG06/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,799: +PARAM [/STM2-CFG81/prot_in] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,799: +PARAM [/STM2-CFG81/prot_out] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,799: +PARAM [/STM2-CFG03/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,800: +PARAM [/STM4/listener] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,800: +PARAM [/STM2-CFG38/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,800: +PARAM [/STM2-CFG63/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,800: +PARAM [/STM2-CFG60/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,801: +PARAM [/STM2/QUEUE2/type] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,801: +PARAM [/STM2-CFG08/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,801: +PARAM [/STM2-CFG40/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,802: +PARAM [/STM2-CFG30/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,802: +PARAM [/STM2-CFG07/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,802: +PARAM [/STM2-CFG63/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,802: +PARAM [/STM2-CFG41/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,803: +PARAM [/STM2-CFG04/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,803: +PARAM [/STM2-CFG35/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,803: +PARAM [/STM2-CFG36/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,803: +PARAM [/STM4/port] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,804: +PARAM [/STM2-CFG06/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,804: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,804: +PARAM [/STM2-CFG41/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,804: +PARAM [/STM2-CFG63/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,805: +PARAM [/STM2-CFG39/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,805: +PARAM [/STM2-CFG08/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,805: +PARAM [/STM2-CFG42/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,806: +PARAM [/STM4/type] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,806: +PARAM [/STM2-CFG39/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,806: +PARAM [/STM2/port] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,806: +PARAM [/STM1/host] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,807: +PARAM [/STM2-CFG31/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,807: +PARAM [/STM2-CFG33/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,807: +PARAM [/STM2-CFG04/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,808: +PARAM [/STM1/QUEUE2/rw] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,808: +PARAM [/STM4/host] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,808: +PARAM [/STM2-CFG41/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,808: +PARAM [/STM2-CFG03/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,809: +PARAM [/STM1/retry] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,809: +PARAM [/STM2/QUEUE1/rw] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,809: +PARAM [/STM2-CFG37/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,810: +PARAM [/STM2-CFG30/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,810: +PARAM [/STM2-CFG60/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,810: +PARAM [/STM2-CFG07/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,810: +PARAM [/STM2-CFG40/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,811: +PARAM [/STM2-CFG33/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,811: +PARAM [/STM2-CFG38/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,811: +PARAM [/STM2-CFG63/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-01 06:07:47,811: +PARAM [/STM2-CFG32/id] by /roslaunch
