[rosmaster.main][INFO] 2019-06-03 14:55:27,294: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-03 14:55:27,294: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-03 14:55:27,297: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-03 14:55:27,299: Started XML-RPC server [http://10.0.0.166:11311/]
[xmlrpc][INFO] 2019-06-03 14:55:27,301: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-03 14:55:27,301: Master initialized: port[11311], uri[http://10.0.0.166:11311/]
[rosmaster.master][INFO] 2019-06-03 14:55:27,370: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:55:27,375: +PARAM [/roslaunch/uris/host_10_0_0_166__42184] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:55:27,812: +SERVICE [/rosout/get_loggers] /rosout http://10.0.0.166:41444/
[rosmaster.master][INFO] 2019-06-03 14:55:27,824: +SERVICE [/rosout/set_logger_level] /rosout http://10.0.0.166:41444/
[rosmaster.master][INFO] 2019-06-03 14:55:27,844: +PUB [/rosout_agg] /rosout http://10.0.0.166:41444/
[rosmaster.master][INFO] 2019-06-03 14:55:27,910: +PARAM [/STM2-CFG35/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:55:27,912: +PARAM [/STM2-CFG32/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:55:27,912: +PARAM [/STM2-CFG07/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:55:27,914: +PARAM [/STM2-CFG07/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:55:27,915: +PARAM [/STM2-CFG03/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:55:27,916: +PARAM [/STM2-CFG30/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:55:27,916: +PARAM [/STM2-CFG32/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:55:27,917: +PARAM [/STM2-CFG34/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:55:27,917: +PARAM [/STM2-CFG37/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:55:27,917: +PARAM [/STM2-CFG33/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:55:27,918: +PARAM [/STM2/retry] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:55:27,918: +PARAM [/STM2-CFG31/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:55:27,919: +PARAM [/STM2-CFG38/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:55:27,920: +PARAM [/STM2-CFG30/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:55:27,921: +PARAM [/STM2-CFG62/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:55:27,922: +PARAM [/STM2-CFG62/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:55:27,922: +PARAM [/STM2-CFG42/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:55:27,922: +PARAM [/STM2-CFG04/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:55:27,923: +PARAM [/STM2-CFG39/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:55:27,923: +PARAM [/STM2-CFG32/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:55:27,923: +PARAM [/STM2-CFG40/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:55:27,924: +PARAM [/STM2-CFG41/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:55:27,924: +PARAM [/STM2-CFG30/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:55:27,924: +PARAM [/STM2-CFG61/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:55:27,924: +PARAM [/STM2-CFG33/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:55:27,925: +PARAM [/STM2-CFG61/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:55:27,925: +PARAM [/STM2/QUEUE2/name] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:55:27,925: +PARAM [/STM2-CFG37/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:55:27,926: +PARAM [/STM2/QUEUE2/rw] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:55:27,926: +PARAM [/STM2-CFG04/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:55:27,926: +PARAM [/STM1/port] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:55:27,927: +PARAM [/STM2-CFG03/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:55:27,929: +PARAM [/STM2-CFG41/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:55:27,930: +PARAM [/STM2-CFG35/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 14:55:27,932: +PARAM [/STM2-CFG40/class] by /roslaunch
