[rosmaster.main][INFO] 2019-06-02 16:08:23,645: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-02 16:08:23,646: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-02 16:08:23,650: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-02 16:08:23,652: Started XML-RPC server [http://10.0.0.166:11311/]
[rosmaster.master][INFO] 2019-06-02 16:08:23,652: Master initialized: port[11311], uri[http://10.0.0.166:11311/]
[xmlrpc][INFO] 2019-06-02 16:08:23,652: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-02 16:08:23,735: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:23,739: +PARAM [/roslaunch/uris/host_10_0_0_166__33960] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:24,194: +SERVICE [/rosout/get_loggers] /rosout http://10.0.0.166:43812/
[rosmaster.master][INFO] 2019-06-02 16:08:24,197: +SERVICE [/rosout/set_logger_level] /rosout http://10.0.0.166:43812/
[rosmaster.master][INFO] 2019-06-02 16:08:24,280: +PARAM [/STM2-CFG35/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:24,280: +PARAM [/STM2-CFG32/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:24,280: +PARAM [/STM2-CFG07/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:24,281: +PARAM [/STM2-CFG07/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:24,281: +PARAM [/STM2-CFG03/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:24,281: +PARAM [/STM2-CFG30/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:24,282: +PARAM [/STM2-CFG32/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:24,282: +PARAM [/STM2-CFG34/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:24,282: +PARAM [/STM2-CFG37/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:24,283: +PARAM [/STM2-CFG33/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:24,283: +PARAM [/STM2/retry] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:24,283: +PARAM [/STM2-CFG31/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:24,284: +PARAM [/STM2-CFG38/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:24,284: +PARAM [/STM2-CFG30/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:24,284: +PARAM [/STM2-CFG62/id] by /roslaunch
