[rosmaster.main][INFO] 2019-06-02 16:08:41,365: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-02 16:08:41,365: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-02 16:08:41,370: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-02 16:08:41,372: Started XML-RPC server [http://10.0.0.166:11311/]
[xmlrpc][INFO] 2019-06-02 16:08:41,373: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-02 16:08:41,374: Master initialized: port[11311], uri[http://10.0.0.166:11311/]
[rosmaster.master][INFO] 2019-06-02 16:08:41,451: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:41,456: +PARAM [/roslaunch/uris/host_10_0_0_166__38354] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:41,938: +SERVICE [/rosout/get_loggers] /rosout http://10.0.0.166:33770/
[rosmaster.master][INFO] 2019-06-02 16:08:41,991: +PARAM [/STM2-CFG35/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:41,992: +PARAM [/STM2-CFG32/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:41,992: +PARAM [/STM2-CFG07/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:41,992: +PARAM [/STM2-CFG07/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:41,993: +PARAM [/STM2-CFG03/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:41,994: +PARAM [/STM2-CFG30/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:41,995: +SERVICE [/rosout/set_logger_level] /rosout http://10.0.0.166:33770/
[rosmaster.master][INFO] 2019-06-02 16:08:41,995: +PARAM [/STM2-CFG32/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:41,997: +PARAM [/STM2-CFG34/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:41,998: +PARAM [/STM2-CFG37/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:41,999: +PARAM [/STM2-CFG33/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:42,000: +PARAM [/STM2/retry] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:42,001: +PARAM [/STM2-CFG31/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:42,002: +PUB [/rosout_agg] /rosout http://10.0.0.166:33770/
[rosmaster.master][INFO] 2019-06-02 16:08:42,003: +PARAM [/STM2-CFG38/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:42,004: +PARAM [/STM2-CFG30/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:42,004: +PARAM [/STM2-CFG62/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:42,005: +PARAM [/STM2-CFG62/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:42,007: +PARAM [/STM2-CFG42/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:42,008: +PARAM [/STM2-CFG04/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:42,008: +PARAM [/STM2-CFG39/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:42,010: +PARAM [/STM2-CFG32/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:42,011: +PARAM [/STM2-CFG40/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:42,011: +PARAM [/STM2-CFG41/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:42,012: +PARAM [/STM2-CFG30/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:08:42,014: +PARAM [/STM2-CFG61/class] by /roslaunch
