[rosmaster.main][INFO] 2019-05-31 19:31:43,171: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-05-31 19:31:43,171: Starting ROS Master Node
[xmlrpc][INFO] 2019-05-31 19:31:43,176: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-05-31 19:31:43,178: Started XML-RPC server [http://10.0.0.166:11311/]
[rosmaster.master][INFO] 2019-05-31 19:31:43,180: Master initialized: port[11311], uri[http://10.0.0.166:11311/]
[xmlrpc][INFO] 2019-05-31 19:31:43,180: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-05-31 19:31:43,267: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,273: +PARAM [/roslaunch/uris/host_10_0_0_166__38523] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,797: +PARAM [/STM2-CFG35/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,798: +PARAM [/STM2-CFG32/desc] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,798: +PARAM [/STM2-CFG07/class] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,799: +PARAM [/STM2-CFG07/desc] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,799: +PARAM [/STM2-CFG03/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,801: +SERVICE [/rosout/get_loggers] /rosout http://10.0.0.166:43479/
[rosmaster.master][INFO] 2019-05-31 19:31:43,801: +PARAM [/STM2-CFG30/class] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,803: +PARAM [/STM2-CFG32/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,803: +PARAM [/STM2-CFG34/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,804: +PARAM [/STM2-CFG37/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,806: +SERVICE [/rosout/set_logger_level] /rosout http://10.0.0.166:43479/
[rosmaster.master][INFO] 2019-05-31 19:31:43,806: +PARAM [/STM2-CFG33/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,808: +PARAM [/STM2/retry] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,809: +PARAM [/STM2-CFG31/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,812: +PARAM [/STM2-CFG38/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,812: +PARAM [/STM2-CFG30/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,812: +PARAM [/STM2-CFG62/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,814: +PUB [/rosout_agg] /rosout http://10.0.0.166:43479/
[rosmaster.master][INFO] 2019-05-31 19:31:43,815: +PARAM [/STM2-CFG62/desc] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,816: +PARAM [/STM2-CFG42/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,817: +PARAM [/STM2-CFG04/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,817: +PARAM [/STM2-CFG39/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,818: +PARAM [/STM2-CFG32/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,820: +PARAM [/STM2-CFG40/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,820: +PARAM [/STM2-CFG41/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,821: +PARAM [/STM2-CFG30/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,823: +PARAM [/STM2-CFG61/class] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,824: +PARAM [/STM2-CFG33/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,824: +PARAM [/STM2-CFG61/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,827: +PARAM [/STM2/QUEUE2/name] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,829: +PARAM [/STM2-CFG37/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,830: +PARAM [/STM2/QUEUE2/rw] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,831: +PARAM [/STM2-CFG04/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,833: +PARAM [/STM1/port] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,835: +SUB [/rosout] /rosout http://10.0.0.166:43479/
[rosmaster.master][INFO] 2019-05-31 19:31:43,835: +PARAM [/STM2-CFG03/class] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,836: +PARAM [/STM2-CFG41/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,837: +PARAM [/STM2-CFG35/class] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,837: +PARAM [/STM2-CFG40/class] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,838: +PARAM [/STM2-CFG34/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,838: +PARAM [/STM1/desc] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,838: +PARAM [/STM2-CFG60/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:31:43,839: +PARAM [/STM1/QUEUE1/rw] by /roslaunch
