[rosmaster.main][INFO] 2019-06-03 09:26:55,014: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-03 09:26:55,014: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-03 09:26:55,020: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-03 09:26:55,021: Started XML-RPC server [http://10.0.0.166:11311/]
[rosmaster.master][INFO] 2019-06-03 09:26:55,021: Master initialized: port[11311], uri[http://10.0.0.166:11311/]
[xmlrpc][INFO] 2019-06-03 09:26:55,021: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-03 09:26:55,106: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:26:55,110: +PARAM [/roslaunch/uris/host_10_0_0_166__42056] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:26:55,578: +SERVICE [/rosout/get_loggers] /rosout http://10.0.0.166:36636/
[rosmaster.master][INFO] 2019-06-03 09:26:55,622: +PARAM [/STM2-CFG35/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:26:55,622: +PARAM [/STM2-CFG32/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:26:55,623: +PARAM [/STM2-CFG07/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:26:55,624: +PARAM [/STM2-CFG07/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:26:55,626: +SERVICE [/rosout/set_logger_level] /rosout http://10.0.0.166:36636/
[rosmaster.master][INFO] 2019-06-03 09:26:55,626: +PARAM [/STM2-CFG03/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:26:55,627: +PARAM [/STM2-CFG30/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:26:55,628: +PARAM [/STM2-CFG32/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:26:55,629: +PARAM [/STM2-CFG34/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:26:55,630: +PARAM [/STM2-CFG37/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:26:55,631: +PARAM [/STM2-CFG33/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:26:55,631: +PARAM [/STM2/retry] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:26:55,632: +PARAM [/STM2-CFG31/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:26:55,634: +PUB [/rosout_agg] /rosout http://10.0.0.166:36636/
[rosmaster.master][INFO] 2019-06-03 09:26:55,634: +PARAM [/STM2-CFG38/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:26:55,635: +PARAM [/STM2-CFG30/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:26:55,636: +PARAM [/STM2-CFG62/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:26:55,638: +PARAM [/STM2-CFG62/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:26:55,639: +PARAM [/STM2-CFG42/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:26:55,639: +PARAM [/STM2-CFG04/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:26:55,640: +PARAM [/STM2-CFG39/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:26:55,640: +PARAM [/STM2-CFG32/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:26:55,641: +PARAM [/STM2-CFG40/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:26:55,641: +PARAM [/STM2-CFG41/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:26:55,641: +PARAM [/STM2-CFG30/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:26:55,642: +PARAM [/STM2-CFG61/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:26:55,642: +PARAM [/STM2-CFG33/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:26:55,642: +PARAM [/STM2-CFG61/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:26:55,643: +PARAM [/STM2/QUEUE2/name] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:26:55,643: +PARAM [/STM2-CFG37/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:26:55,643: +PARAM [/STM2/QUEUE2/rw] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:26:55,643: +PARAM [/STM2-CFG04/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:26:55,644: +PARAM [/STM1/port] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:26:55,644: +PARAM [/STM2-CFG03/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:26:55,644: +PARAM [/STM2-CFG41/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:26:55,645: +PARAM [/STM2-CFG35/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:26:55,645: +PARAM [/STM2-CFG40/class] by /roslaunch
