[rosmaster.main][INFO] 2017-10-18 07:34:17,518: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-18 07:34:17,519: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-18 07:34:17,524: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-18 07:34:17,526: Started XML-RPC server [http://10.0.0.116:11311/]
[xmlrpc][INFO] 2017-10-18 07:34:17,526: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-18 07:34:17,527: Master initialized: port[11311], uri[http://10.0.0.116:11311/]
[rosmaster.master][INFO] 2017-10-18 07:34:17,601: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:17,607: +PARAM [/roslaunch/uris/host_10_0_0_116__45530] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:18,057: +SERVICE [/rosout/get_loggers] /rosout http://10.0.0.116:35964/
[rosmaster.master][INFO] 2017-10-18 07:34:18,060: +SERVICE [/rosout/set_logger_level] /rosout http://10.0.0.116:35964/
[rosmaster.master][INFO] 2017-10-18 07:34:18,126: +PARAM [/camera/driver/color_fps] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:18,126: +PARAM [/mavros/imu/linear_acceleration_stdev] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:18,127: +PARAM [/cone_finder/height_3ft] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:18,128: +PARAM [/mavros/image/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:18,129: +PUB [/rosout_agg] /rosout http://10.0.0.116:35964/
[rosmaster.master][INFO] 2017-10-18 07:34:18,130: +PARAM [/mavros/setpoint_attitude/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:18,131: +PARAM [/camera/disparity_registered_sw/max_range] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:18,132: +PARAM [/camera/disparity_registered_sw/min_range] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:18,133: +PARAM [/cone_finder/max_throttle_on_road] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:18,134: +PARAM [/camera/driver/enable_depth] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:18,135: +PARAM [/mavros/setpoint_position/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:18,136: +PARAM [/camera/points_xyzrgb_sw_registered/queue_size] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:18,138: +PARAM [/mavros/sys/disable_diag] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:18,139: +PARAM [/mavros/distance_sensor/rangefinder_pub/id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:18,139: +PARAM [/mavros/distance_sensor/rangefinder_pub/sensor_position/z] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:18,140: +PARAM [/mavros/distance_sensor/rangefinder_pub/sensor_position/y] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:18,140: +PARAM [/mavros/distance_sensor/rangefinder_pub/sensor_position/x] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:18,142: +PARAM [/mavros/startup_px4_usb_quirk] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:18,143: +PARAM [/cone_finder/search_period] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:18,144: +PARAM [/cone_finder/height_10ft] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:18,146: +PARAM [/camera/camera_nodelet_manager/num_worker_threads] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:18,146: +PARAM [/mavros/imu/orientation_stdev] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:18,147: +PARAM [/cone_finder/height_5ft] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:18,149: +PARAM [/mavros/fake_gps/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:18,150: +PARAM [/cone_finder/min_confidence] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:18,151: +PARAM [/mavros/safety_area/p2/x] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:18,151: +PARAM [/mavros/px4flow/ranger_fov] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:18,151: +PARAM [/mavros/safety_area/p2/y] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:18,152: +PARAM [/camera/driver/enable_color] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:18,152: +PARAM [/camera/driver/base_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:18,152: +PARAM [/mavros/fake_gps/geo_origin/lon] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:18,153: +PARAM [/mavros/local_position/tf/send] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:18,153: +PARAM [/mavros/plugin_blacklist] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:18,153: +PARAM [/cone_finder/search_throttle_on_grass] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:18,154: +PARAM [/camera/driver/enable_tf] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:18,154: +PARAM [/mavros/imu/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:18,156: +SUB [/rosout] /rosout http://10.0.0.116:35964/
[rosmaster.master][INFO] 2017-10-18 07:34:18,156: +PARAM [/mavros/distance_sensor/rangefinder_sub/id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:18,157: +PARAM [/mavros/setpoint_attitude/reverse_thrust] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:18,158: +PARAM [/mavros/local_position/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:34:18,158: +PARAM [/AWAY_PCT_SERVO] by /roslaunch
