[rosmaster.main][INFO] 2019-06-06 09:02:02,868: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-06 09:02:02,869: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-06 09:02:02,872: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-06 09:02:02,873: Started XML-RPC server [http://10.0.0.166:11311/]
[xmlrpc][INFO] 2019-06-06 09:02:02,874: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-06 09:02:02,874: Master initialized: port[11311], uri[http://10.0.0.166:11311/]
[rosmaster.master][INFO] 2019-06-06 09:02:02,938: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 09:02:02,942: +PARAM [/roslaunch/uris/host_10_0_0_166__35635] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 09:02:03,463: +PARAM [/STM2-CFG35/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 09:02:03,466: +SERVICE [/rosout/get_loggers] /rosout http://10.0.0.166:34742/
[rosmaster.master][INFO] 2019-06-06 09:02:03,466: +PARAM [/STM2-CFG32/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 09:02:03,467: +PARAM [/STM2-CFG07/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 09:02:03,468: +PARAM [/STM2-CFG07/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 09:02:03,469: +PARAM [/STM2-CFG03/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 09:02:03,469: +PARAM [/STM2-CFG30/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 09:02:03,470: +PARAM [/STM2-CFG32/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 09:02:03,471: +SERVICE [/rosout/set_logger_level] /rosout http://10.0.0.166:34742/
[rosmaster.master][INFO] 2019-06-06 09:02:03,472: +PARAM [/STM2-CFG34/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 09:02:03,474: +PARAM [/STM2-CFG37/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 09:02:03,476: +PARAM [/STM2-CFG33/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 09:02:03,479: +PARAM [/STM2/retry] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 09:02:03,481: +PARAM [/STM2-CFG31/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 09:02:03,482: +PUB [/rosout_agg] /rosout http://10.0.0.166:34742/
[rosmaster.master][INFO] 2019-06-06 09:02:03,483: +PARAM [/STM2-CFG38/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 09:02:03,484: +PARAM [/STM2-CFG30/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 09:02:03,484: +PARAM [/STM2-CFG62/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 09:02:03,485: +PARAM [/STM2-CFG62/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 09:02:03,486: +PARAM [/STM2-CFG42/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 09:02:03,488: +PARAM [/STM2-CFG04/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 09:02:03,488: +PARAM [/STM2-CFG39/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 09:02:03,489: +PARAM [/STM2-CFG32/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 09:02:03,490: +PARAM [/STM2-CFG40/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 09:02:03,492: +PARAM [/STM2-CFG41/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 09:02:03,493: +PARAM [/STM2-CFG30/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 09:02:03,495: +PARAM [/STM2-CFG61/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 09:02:03,496: +PARAM [/STM2-CFG33/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 09:02:03,496: +PARAM [/STM2-CFG61/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 09:02:03,499: +PARAM [/STM2/QUEUE2/name] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 09:02:03,499: +PARAM [/STM2-CFG37/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 09:02:03,502: +PARAM [/STM2/QUEUE2/rw] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 09:02:03,504: +SUB [/rosout] /rosout http://10.0.0.166:34742/
[rosmaster.master][INFO] 2019-06-06 09:02:03,504: +PARAM [/STM2-CFG04/id] by /roslaunch
