[rosmaster.main][INFO] 2019-05-31 19:46:18,300: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-05-31 19:46:18,300: Starting ROS Master Node
[xmlrpc][INFO] 2019-05-31 19:46:18,305: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-05-31 19:46:18,306: Started XML-RPC server [http://10.0.0.166:11311/]
[xmlrpc][INFO] 2019-05-31 19:46:18,307: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-05-31 19:46:18,307: Master initialized: port[11311], uri[http://10.0.0.166:11311/]
[rosmaster.master][INFO] 2019-05-31 19:46:18,392: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:46:18,397: +PARAM [/roslaunch/uris/host_10_0_0_166__40360] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:46:18,910: +SERVICE [/rosout/get_loggers] /rosout http://10.0.0.166:41322/
[rosmaster.master][INFO] 2019-05-31 19:46:18,926: +PARAM [/STM2-CFG35/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:46:18,927: +PARAM [/STM2-CFG32/desc] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:46:18,927: +PARAM [/STM2-CFG07/class] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:46:18,928: +SERVICE [/rosout/set_logger_level] /rosout http://10.0.0.166:41322/
[rosmaster.master][INFO] 2019-05-31 19:46:18,929: +PARAM [/STM2-CFG07/desc] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:46:18,930: +PARAM [/STM2-CFG03/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:46:18,931: +PARAM [/STM2-CFG30/class] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:46:18,931: +PARAM [/STM2-CFG32/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:46:18,932: +PARAM [/STM2-CFG34/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:46:18,933: +PARAM [/STM2-CFG37/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:46:18,934: +PARAM [/STM2-CFG33/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:46:18,935: +PARAM [/STM2/retry] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:46:18,935: +PARAM [/STM2-CFG31/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:46:18,936: +PARAM [/STM2-CFG38/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:46:18,937: +PARAM [/STM2-CFG30/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:46:18,938: +PUB [/rosout_agg] /rosout http://10.0.0.166:41322/
[rosmaster.master][INFO] 2019-05-31 19:46:18,938: +PARAM [/STM2-CFG62/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:46:18,940: +PARAM [/STM2-CFG62/desc] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:46:18,941: +PARAM [/STM2-CFG42/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:46:18,942: +PARAM [/STM2-CFG04/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:46:18,943: +PARAM [/STM2-CFG39/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:46:18,945: +PARAM [/STM2-CFG32/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:46:18,946: +PARAM [/STM2-CFG40/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:46:18,946: +PARAM [/STM2-CFG41/id] by /roslaunch
