[rosmaster.main][INFO] 2019-06-06 08:47:52,749: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-06 08:47:52,749: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-06 08:47:52,754: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-06 08:47:52,756: Started XML-RPC server [http://10.0.0.166:11311/]
[rosmaster.master][INFO] 2019-06-06 08:47:52,757: Master initialized: port[11311], uri[http://10.0.0.166:11311/]
[xmlrpc][INFO] 2019-06-06 08:47:52,759: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-06 08:47:52,821: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:52,826: +PARAM [/roslaunch/uris/host_10_0_0_166__43719] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,352: +PARAM [/STM2-CFG35/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,352: +PARAM [/STM2-CFG32/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,353: +PARAM [/STM2-CFG07/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,353: +PARAM [/STM2-CFG07/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,353: +PARAM [/STM2-CFG03/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,354: +PARAM [/STM2-CFG30/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,354: +PARAM [/STM2-CFG32/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,355: +PARAM [/STM2-CFG34/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,355: +PARAM [/STM2-CFG37/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,355: +PARAM [/STM2-CFG33/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,356: +PARAM [/STM2/retry] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,357: +PARAM [/STM2-CFG31/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,358: +PARAM [/STM2-CFG38/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,359: +PARAM [/STM2-CFG30/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,360: +PARAM [/STM2-CFG62/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,361: +PARAM [/STM2-CFG62/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,361: +PARAM [/STM2-CFG42/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,362: +PARAM [/STM2-CFG04/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,362: +PARAM [/STM2-CFG39/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,363: +PARAM [/STM2-CFG32/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,365: +SERVICE [/rosout/get_loggers] /rosout http://10.0.0.166:42612/
[rosmaster.master][INFO] 2019-06-06 08:47:53,366: +PARAM [/STM2-CFG40/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,367: +PARAM [/STM2-CFG41/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,368: +PARAM [/STM2-CFG30/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,369: +PARAM [/STM2-CFG61/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,369: +PARAM [/STM2-CFG33/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,369: +PARAM [/STM2-CFG61/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,371: +SERVICE [/rosout/set_logger_level] /rosout http://10.0.0.166:42612/
[rosmaster.master][INFO] 2019-06-06 08:47:53,371: +PARAM [/STM2/QUEUE2/name] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,373: +PARAM [/STM2-CFG37/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,374: +PARAM [/STM2/QUEUE2/rw] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,376: +PARAM [/STM2-CFG04/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,376: +PARAM [/STM1/port] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,378: +PUB [/rosout_agg] /rosout http://10.0.0.166:42612/
[rosmaster.master][INFO] 2019-06-06 08:47:53,379: +PARAM [/STM2-CFG03/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,380: +PARAM [/STM2-CFG41/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,381: +PARAM [/STM2-CFG35/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,382: +PARAM [/STM2-CFG40/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,384: +PARAM [/STM2-CFG34/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,384: +PARAM [/STM1/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,385: +PARAM [/STM2-CFG60/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,386: +PARAM [/STM1/QUEUE1/rw] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,386: +PARAM [/STM2-CFG05/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,386: +PARAM [/STM2-CFG06/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,387: +PARAM [/STM2-CFG81/prot_in] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,387: +PARAM [/STM2-CFG81/prot_out] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,387: +PARAM [/STM2-CFG03/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,388: +PARAM [/STM4/listener] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,388: +PARAM [/STM2-CFG38/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,388: +PARAM [/STM2-CFG63/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,389: +PARAM [/STM2-CFG60/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,389: +PARAM [/STM2/QUEUE2/type] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,389: +PARAM [/STM2-CFG08/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,390: +PARAM [/STM2-CFG40/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,390: +PARAM [/STM2-CFG30/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,390: +PARAM [/STM2-CFG07/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,392: +PARAM [/STM2-CFG63/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,393: +PARAM [/STM2-CFG41/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,394: +PARAM [/STM2-CFG04/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,396: +PARAM [/STM2-CFG35/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,397: +PARAM [/STM2-CFG36/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,400: +PARAM [/STM4/port] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,402: +PARAM [/STM2-CFG06/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,403: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,404: +PARAM [/STM2-CFG41/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,405: +PARAM [/STM2-CFG63/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,406: +SUB [/rosout] /rosout http://10.0.0.166:42612/
[rosmaster.master][INFO] 2019-06-06 08:47:53,407: +PARAM [/STM2-CFG39/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,408: +PARAM [/STM2-CFG08/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,409: +PARAM [/STM2-CFG42/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,409: +PARAM [/STM4/type] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,409: +PARAM [/STM2-CFG39/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,410: +PARAM [/STM2/port] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,410: +PARAM [/STM1/host] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,410: +PARAM [/STM2-CFG31/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,411: +PARAM [/STM2-CFG33/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,411: +PARAM [/STM2-CFG04/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,411: +PARAM [/STM1/QUEUE2/rw] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,412: +PARAM [/STM4/host] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,412: +PARAM [/STM2-CFG41/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,412: +PARAM [/STM2-CFG03/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,413: +PARAM [/STM1/retry] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,413: +PARAM [/STM2/QUEUE1/rw] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,413: +PARAM [/STM2-CFG37/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,414: +PARAM [/STM2-CFG30/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,414: +PARAM [/STM2-CFG60/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,415: +PARAM [/STM2-CFG07/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,415: +PARAM [/STM2-CFG40/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,415: +PARAM [/STM2-CFG33/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,416: +PARAM [/STM2-CFG38/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,416: +PARAM [/STM2-CFG63/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,416: +PARAM [/STM2-CFG32/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,416: +PARAM [/STM2-CFG06/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,417: +PARAM [/STM2-CFG41/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:47:53,417: +PARAM [/STM2-CFG06/desc] by /roslaunch
