

1559836073.376326123  Node Startup
1559836075.879862785 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG63/msgClass
1559836075.882442951 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG63/msgId
1559836075.884060621 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG63/id
1559836075.885355949 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG63/ioPorts
1559836075.886503219 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG63/class
1559836075.887789487 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG63/desc
1559836075.889387369 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG62/msgClass
1559836075.890782356 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG62/msgId
1559836075.892041921 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG62/id
1559836075.893373250 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG62/ioPorts
1559836075.894809961 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG62/class
1559836075.896116018 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG62/desc
1559836075.897390365 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG36/msgClass
1559836075.898745775 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG36/msgId
1559836075.899988651 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG36/class
1559836075.901193380 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG36/ioPorts
1559836075.902390480 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG36/id
1559836075.903664112 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG36/desc
1559836075.904867172 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG37/msgClass
1559836075.906107187 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG37/msgId
1559836075.907480478 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG37/id
1559836075.908750534 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG37/ioPorts
1559836075.909948348 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG37/class
1559836075.911345481 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG37/desc
1559836075.912640333 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG34/msgClass
1559836075.913922309 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG34/msgId
1559836075.915273427 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG34/class
1559836075.916499137 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG34/ioPorts
1559836075.917717218 ERROR [switch_thread.py:202(send_config) [topics: /gnss_control, /STM1, /STM4, /STM2, /mavlink/to, /rosout, /gnss_status] /STM2-CFG34/id
