[rosmaster.main][INFO] 2019-06-03 13:16:41,895: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-03 13:16:41,895: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-03 13:16:41,900: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2019-06-03 13:16:41,902: Master initialized: port[11311], uri[http://10.0.0.166:11311/]
[xmlrpc][INFO] 2019-06-03 13:16:41,901: Started XML-RPC server [http://10.0.0.166:11311/]
[xmlrpc][INFO] 2019-06-03 13:16:41,902: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-03 13:16:41,988: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:16:41,993: +PARAM [/roslaunch/uris/host_10_0_0_166__39017] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:16:42,508: +SERVICE [/rosout/get_loggers] /rosout http://10.0.0.166:33782/
[rosmaster.master][INFO] 2019-06-03 13:16:42,517: +PARAM [/STM2-CFG35/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:16:42,519: +PARAM [/STM2-CFG32/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:16:42,519: +PARAM [/STM2-CFG07/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:16:42,520: +PARAM [/STM2-CFG07/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:16:42,521: +SERVICE [/rosout/set_logger_level] /rosout http://10.0.0.166:33782/
[rosmaster.master][INFO] 2019-06-03 13:16:42,522: +PARAM [/STM2-CFG03/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:16:42,523: +PARAM [/STM2-CFG30/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:16:42,524: +PARAM [/STM2-CFG32/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:16:42,526: +PARAM [/STM2-CFG34/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:16:42,527: +PARAM [/STM2-CFG37/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:16:42,527: +PARAM [/STM2-CFG33/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:16:42,527: +PARAM [/STM2/retry] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:16:42,528: +PARAM [/STM2-CFG31/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:16:42,528: +PARAM [/STM2-CFG38/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:16:42,529: +PARAM [/STM2-CFG30/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:16:42,530: +PUB [/rosout_agg] /rosout http://10.0.0.166:33782/
[rosmaster.master][INFO] 2019-06-03 13:16:42,531: +PARAM [/STM2-CFG62/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:16:42,532: +PARAM [/STM2-CFG62/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:16:42,532: +PARAM [/STM2-CFG42/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:16:42,533: +PARAM [/STM2-CFG04/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:16:42,534: +PARAM [/STM2-CFG39/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:16:42,535: +PARAM [/STM2-CFG32/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:16:42,535: +PARAM [/STM2-CFG40/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:16:42,535: +PARAM [/STM2-CFG41/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:16:42,536: +PARAM [/STM2-CFG30/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:16:42,537: +PARAM [/STM2-CFG61/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:16:42,538: +PARAM [/STM2-CFG33/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:16:42,539: +PARAM [/STM2-CFG61/msgId] by /roslaunch
