[rosmaster.main][INFO] 2019-06-03 13:02:29,196: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-03 13:02:29,196: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-03 13:02:29,202: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-03 13:02:29,203: Started XML-RPC server [http://10.0.0.166:11311/]
[rosmaster.master][INFO] 2019-06-03 13:02:29,204: Master initialized: port[11311], uri[http://10.0.0.166:11311/]
[xmlrpc][INFO] 2019-06-03 13:02:29,204: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-03 13:02:29,294: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:02:29,299: +PARAM [/roslaunch/uris/host_10_0_0_166__40391] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:02:29,735: +SERVICE [/rosout/get_loggers] /rosout http://10.0.0.166:37023/
[rosmaster.master][INFO] 2019-06-03 13:02:29,821: +PARAM [/STM2-CFG35/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:02:29,822: +SERVICE [/rosout/set_logger_level] /rosout http://10.0.0.166:37023/
[rosmaster.master][INFO] 2019-06-03 13:02:29,823: +PARAM [/STM2-CFG32/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:02:29,824: +PARAM [/STM2-CFG07/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:02:29,824: +PARAM [/STM2-CFG07/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:02:29,825: +PARAM [/STM2-CFG03/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:02:29,825: +PARAM [/STM2-CFG30/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:02:29,826: +PARAM [/STM2-CFG32/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:02:29,826: +PARAM [/STM2-CFG34/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:02:29,827: +PARAM [/STM2-CFG37/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:02:29,827: +PARAM [/STM2-CFG33/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:02:29,829: +PARAM [/STM2/retry] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:02:29,829: +PARAM [/STM2-CFG31/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:02:29,830: +PARAM [/STM2-CFG38/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:02:29,830: +PARAM [/STM2-CFG30/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:02:29,830: +PARAM [/STM2-CFG62/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:02:29,831: +PARAM [/STM2-CFG62/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:02:29,832: +PUB [/rosout_agg] /rosout http://10.0.0.166:37023/
[rosmaster.master][INFO] 2019-06-03 13:02:29,833: +PARAM [/STM2-CFG42/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:02:29,834: +PARAM [/STM2-CFG04/ioPorts] by /roslaunch
