[rosmaster.main][INFO] 2019-06-04 15:46:02,509: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-04 15:46:02,509: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-04 15:46:02,514: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-04 15:46:02,515: Started XML-RPC server [http://10.0.0.166:11311/]
[rosmaster.master][INFO] 2019-06-04 15:46:02,516: Master initialized: port[11311], uri[http://10.0.0.166:11311/]
[xmlrpc][INFO] 2019-06-04 15:46:02,516: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-04 15:46:02,603: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:02,608: +PARAM [/roslaunch/uris/host_10_0_0_166__43799] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,118: +SERVICE [/rosout/get_loggers] /rosout http://10.0.0.166:42584/
[rosmaster.master][INFO] 2019-06-04 15:46:03,126: +PARAM [/STM2-CFG35/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,127: +PARAM [/STM2-CFG32/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,128: +SERVICE [/rosout/set_logger_level] /rosout http://10.0.0.166:42584/
[rosmaster.master][INFO] 2019-06-04 15:46:03,129: +PARAM [/STM2-CFG07/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,130: +PARAM [/STM2-CFG07/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,130: +PARAM [/STM2-CFG03/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,130: +PARAM [/STM2-CFG30/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,132: +PARAM [/STM2-CFG32/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,134: +PARAM [/STM2-CFG34/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,134: +PARAM [/STM2-CFG37/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,135: +PARAM [/STM2-CFG33/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,135: +PARAM [/STM2/retry] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,137: +PUB [/rosout_agg] /rosout http://10.0.0.166:42584/
[rosmaster.master][INFO] 2019-06-04 15:46:03,137: +PARAM [/STM2-CFG31/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,139: +PARAM [/STM2-CFG38/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,139: +PARAM [/STM2-CFG30/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,140: +PARAM [/STM2-CFG62/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,142: +PARAM [/STM2-CFG62/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,144: +PARAM [/STM2-CFG42/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,145: +PARAM [/STM2-CFG04/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,147: +PARAM [/STM2-CFG39/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,148: +PARAM [/STM2-CFG32/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,149: +PARAM [/STM2-CFG40/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,150: +PARAM [/STM2-CFG41/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,152: +PARAM [/STM2-CFG30/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,153: +PARAM [/STM2-CFG61/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,155: +PARAM [/STM2-CFG33/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,155: +PARAM [/STM2-CFG61/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,155: +PARAM [/STM2/QUEUE2/name] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,156: +PARAM [/STM2-CFG37/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,157: +SUB [/rosout] /rosout http://10.0.0.166:42584/
[rosmaster.master][INFO] 2019-06-04 15:46:03,158: +PARAM [/STM2/QUEUE2/rw] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,159: +PARAM [/STM2-CFG04/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,159: +PARAM [/STM1/port] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,160: +PARAM [/STM2-CFG03/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,160: +PARAM [/STM2-CFG41/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,160: +PARAM [/STM2-CFG35/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,160: +PARAM [/STM2-CFG40/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,161: +PARAM [/STM2-CFG34/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,161: +PARAM [/STM1/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,161: +PARAM [/STM2-CFG60/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,162: +PARAM [/STM1/QUEUE1/rw] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,162: +PARAM [/STM2-CFG05/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,162: +PARAM [/STM2-CFG06/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,163: +PARAM [/STM2-CFG81/prot_in] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,163: +PARAM [/STM2-CFG81/prot_out] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,163: +PARAM [/STM2-CFG03/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,164: +PARAM [/STM4/listener] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,164: +PARAM [/STM2-CFG38/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,164: +PARAM [/STM2-CFG63/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,164: +PARAM [/STM2-CFG60/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,165: +PARAM [/STM2/QUEUE2/type] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,165: +PARAM [/STM2-CFG08/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,165: +PARAM [/STM2-CFG40/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,165: +PARAM [/STM2-CFG30/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,166: +PARAM [/STM2-CFG07/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,166: +PARAM [/STM2-CFG63/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,166: +PARAM [/STM2-CFG41/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,167: +PARAM [/STM2-CFG04/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,167: +PARAM [/STM2-CFG35/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,167: +PARAM [/STM2-CFG36/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,167: +PARAM [/STM4/port] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,168: +PARAM [/STM2-CFG06/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,168: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,168: +PARAM [/STM2-CFG41/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,168: +PARAM [/STM2-CFG63/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,169: +PARAM [/STM2-CFG39/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,169: +PARAM [/STM2-CFG08/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,169: +PARAM [/STM2-CFG42/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,170: +PARAM [/STM4/type] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,170: +PARAM [/STM2-CFG39/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,170: +PARAM [/STM2/port] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,170: +PARAM [/STM1/host] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,171: +PARAM [/STM2-CFG31/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,171: +PARAM [/STM2-CFG33/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,171: +PARAM [/STM2-CFG04/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,171: +PARAM [/STM1/QUEUE2/rw] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,172: +PARAM [/STM4/host] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,172: +PARAM [/STM2-CFG41/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,172: +PARAM [/STM2-CFG03/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,173: +PARAM [/STM1/retry] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,173: +PARAM [/STM2/QUEUE1/rw] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,173: +PARAM [/STM2-CFG37/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,173: +PARAM [/STM2-CFG30/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,174: +PARAM [/STM2-CFG60/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,174: +PARAM [/STM2-CFG07/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,174: +PARAM [/STM2-CFG40/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,175: +PARAM [/STM2-CFG33/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,175: +PARAM [/STM2-CFG38/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,175: +PARAM [/STM2-CFG63/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,175: +PARAM [/STM2-CFG32/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,176: +PARAM [/STM2-CFG06/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,176: +PARAM [/STM2-CFG41/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,176: +PARAM [/STM2-CFG06/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,176: +PARAM [/STM2-CFG63/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,177: +PARAM [/STM2-CFG42/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,177: +PARAM [/STM2-CFG36/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,177: +PARAM [/STM2-CFG81/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,178: +PARAM [/STM2-CFG35/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,178: +PARAM [/STM2/QUEUE1/type] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,178: +PARAM [/STM2-CFG62/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,178: +PARAM [/STM2/timeout] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,179: +PARAM [/STM2-CFG05/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,179: +PARAM [/STM1/QUEUE1/name] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,179: +PARAM [/STM2-CFG33/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,179: +PARAM [/STM2-CFG08/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,180: +PARAM [/STM2-CFG62/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,180: +PARAM [/STM2-CFG34/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,180: +PARAM [/STM2-CFG35/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,181: +PARAM [/STM2-CFG30/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,181: +PARAM [/STM2-CFG34/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,181: +PARAM [/STM2-CFG62/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,181: +PARAM [/STM2-CFG42/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,182: +PARAM [/STM2-CFG61/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,182: +PARAM [/STM4/retry] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,182: +PARAM [/STM2-CFG38/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,183: +PARAM [/STM2-CFG81/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,183: +PARAM [/STM2/type] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,183: +PARAM [/STM2-CFG31/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,183: +PARAM [/STM2-CFG05/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,184: +PARAM [/STM2-CFG31/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,184: +PARAM [/STM2-CFG35/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,184: +PARAM [/STM2-CFG36/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,185: +PARAM [/STM2-CFG32/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,185: +PARAM [/STM2-CFG61/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,185: +PARAM [/STM2-CFG07/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,185: +PARAM [/STM2/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,186: +PARAM [/STM2-CFG03/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:46:03,186: +PARAM [/STM2-CFG37/desc] by /roslaunch
