[rosmaster.main][INFO] 2019-06-06 08:55:38,953: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-06 08:55:38,954: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-06 08:55:38,959: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-06 08:55:38,962: Started XML-RPC server [http://10.0.0.166:11311/]
[rosmaster.master][INFO] 2019-06-06 08:55:38,963: Master initialized: port[11311], uri[http://10.0.0.166:11311/]
[xmlrpc][INFO] 2019-06-06 08:55:38,964: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-06 08:55:39,024: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,030: +PARAM [/roslaunch/uris/host_10_0_0_166__40071] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,553: +PARAM [/STM2-CFG35/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,555: +SERVICE [/rosout/get_loggers] /rosout http://10.0.0.166:37391/
[rosmaster.master][INFO] 2019-06-06 08:55:39,556: +PARAM [/STM2-CFG32/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,557: +PARAM [/STM2-CFG07/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,558: +PARAM [/STM2-CFG07/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,558: +PARAM [/STM2-CFG03/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,559: +PARAM [/STM2-CFG30/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,560: +SERVICE [/rosout/set_logger_level] /rosout http://10.0.0.166:37391/
[rosmaster.master][INFO] 2019-06-06 08:55:39,561: +PARAM [/STM2-CFG32/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,562: +PARAM [/STM2-CFG34/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,563: +PARAM [/STM2-CFG37/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,564: +PARAM [/STM2-CFG33/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,564: +PARAM [/STM2/retry] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,566: +PARAM [/STM2-CFG31/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,567: +PARAM [/STM2-CFG38/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,567: +PARAM [/STM2-CFG30/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,568: +PARAM [/STM2-CFG62/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,569: +PARAM [/STM2-CFG62/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,571: +PUB [/rosout_agg] /rosout http://10.0.0.166:37391/
[rosmaster.master][INFO] 2019-06-06 08:55:39,571: +PARAM [/STM2-CFG42/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,572: +PARAM [/STM2-CFG04/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,573: +PARAM [/STM2-CFG39/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,576: +PARAM [/STM2-CFG32/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,576: +PARAM [/STM2-CFG40/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,576: +PARAM [/STM2-CFG41/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,577: +PARAM [/STM2-CFG30/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,577: +PARAM [/STM2-CFG61/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,577: +PARAM [/STM2-CFG33/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,577: +PARAM [/STM2-CFG61/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,578: +PARAM [/STM2/QUEUE2/name] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,578: +PARAM [/STM2-CFG37/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,579: +PARAM [/STM2/QUEUE2/rw] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,580: +PARAM [/STM2-CFG04/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,582: +PARAM [/STM1/port] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,582: +PARAM [/STM2-CFG03/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,583: +PARAM [/STM2-CFG41/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,584: +PARAM [/STM2-CFG35/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,586: +PARAM [/STM2-CFG40/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,586: +PARAM [/STM2-CFG34/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,589: +PARAM [/STM1/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,589: +PARAM [/STM2-CFG60/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,592: +PARAM [/STM1/QUEUE1/rw] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,593: +PARAM [/STM2-CFG05/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,593: +PARAM [/STM2-CFG06/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,594: +PARAM [/STM2-CFG81/prot_in] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,595: +PARAM [/STM2-CFG81/prot_out] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,596: +SUB [/rosout] /rosout http://10.0.0.166:37391/
[rosmaster.master][INFO] 2019-06-06 08:55:39,596: +PARAM [/STM2-CFG03/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,598: +PARAM [/STM4/listener] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,598: +PARAM [/STM2-CFG38/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,599: +PARAM [/STM2-CFG63/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,599: +PARAM [/STM2-CFG60/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,599: +PARAM [/STM2/QUEUE2/type] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,600: +PARAM [/STM2-CFG08/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,600: +PARAM [/STM2-CFG40/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,600: +PARAM [/STM2-CFG30/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,600: +PARAM [/STM2-CFG07/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,601: +PARAM [/STM2-CFG63/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,601: +PARAM [/STM2-CFG41/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,601: +PARAM [/STM2-CFG04/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,602: +PARAM [/STM2-CFG35/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,602: +PARAM [/STM2-CFG36/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,602: +PARAM [/STM4/port] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,603: +PARAM [/STM2-CFG06/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,603: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,603: +PARAM [/STM2-CFG41/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,604: +PARAM [/STM2-CFG63/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,604: +PARAM [/STM2-CFG39/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,604: +PARAM [/STM2-CFG08/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,605: +PARAM [/STM2-CFG42/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,605: +PARAM [/STM4/type] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,605: +PARAM [/STM2-CFG39/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,605: +PARAM [/STM2/port] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,606: +PARAM [/STM1/host] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,606: +PARAM [/STM2-CFG31/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:55:39,606: +PARAM [/STM2-CFG33/desc] by /roslaunch
