[rosmaster.main][INFO] 2017-10-18 07:42:18,028: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-18 07:42:18,029: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-18 07:42:18,035: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-18 07:42:18,038: Started XML-RPC server [http://10.0.0.116:11311/]
[rosmaster.master][INFO] 2017-10-18 07:42:18,040: Master initialized: port[11311], uri[http://10.0.0.116:11311/]
[xmlrpc][INFO] 2017-10-18 07:42:18,041: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-18 07:42:18,107: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,114: +PARAM [/roslaunch/uris/host_10_0_0_116__39443] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,572: +SERVICE [/rosout/get_loggers] /rosout http://10.0.0.116:38436/
[rosmaster.master][INFO] 2017-10-18 07:42:18,575: +SERVICE [/rosout/set_logger_level] /rosout http://10.0.0.116:38436/
[rosmaster.master][INFO] 2017-10-18 07:42:18,580: +PUB [/rosout_agg] /rosout http://10.0.0.116:38436/
[rosmaster.master][INFO] 2017-10-18 07:42:18,651: +PARAM [/camera/driver/color_fps] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,652: +PARAM [/mavros/imu/linear_acceleration_stdev] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,652: +PARAM [/cone_finder/height_3ft] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,653: +PARAM [/mavros/image/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,653: +PARAM [/mavros/setpoint_attitude/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,655: +PARAM [/camera/disparity_registered_sw/max_range] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,655: +PARAM [/camera/disparity_registered_sw/min_range] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,656: +PARAM [/cone_finder/max_throttle_on_road] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,657: +PARAM [/camera/driver/enable_depth] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,657: +PARAM [/mavros/setpoint_position/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,659: +PARAM [/camera/points_xyzrgb_sw_registered/queue_size] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,660: +PARAM [/mavros/sys/disable_diag] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,662: +PARAM [/mavros/distance_sensor/rangefinder_pub/id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,663: +PARAM [/mavros/distance_sensor/rangefinder_pub/sensor_position/z] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,664: +PARAM [/mavros/distance_sensor/rangefinder_pub/sensor_position/y] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,665: +PARAM [/mavros/distance_sensor/rangefinder_pub/sensor_position/x] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,667: +PARAM [/mavros/startup_px4_usb_quirk] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,668: +PARAM [/cone_finder/search_period] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,669: +PARAM [/cone_finder/height_10ft] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,669: +PARAM [/camera/camera_nodelet_manager/num_worker_threads] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,669: +PARAM [/mavros/imu/orientation_stdev] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,670: +PARAM [/cone_finder/height_5ft] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,671: +SUB [/rosout] /rosout http://10.0.0.116:38436/
[rosmaster.master][INFO] 2017-10-18 07:42:18,672: +PARAM [/mavros/fake_gps/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,673: +PARAM [/cone_finder/min_confidence] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,674: +PARAM [/mavros/safety_area/p2/x] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,674: +PARAM [/mavros/px4flow/ranger_fov] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,674: +PARAM [/mavros/safety_area/p2/y] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,675: +PARAM [/camera/driver/enable_color] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,675: +PARAM [/camera/driver/base_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,675: +PARAM [/mavros/fake_gps/geo_origin/lon] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,676: +PARAM [/mavros/local_position/tf/send] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,676: +PARAM [/mavros/plugin_blacklist] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,676: +PARAM [/cone_finder/search_throttle_on_grass] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,677: +PARAM [/camera/driver/enable_tf] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,677: +PARAM [/mavros/imu/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,677: +PARAM [/mavros/distance_sensor/rangefinder_sub/id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,678: +PARAM [/mavros/setpoint_attitude/reverse_thrust] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,678: +PARAM [/mavros/local_position/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,678: +PARAM [/AWAY_PCT_SERVO] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,679: +PARAM [/camera/driver/serial_no] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,679: +PARAM [/mavros/odometry/frame_tf/desired_frame] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,679: +PARAM [/mavros/local_position/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,680: +PARAM [/mavros/distance_sensor/rangefinder_pub/field_of_view] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,680: +PARAM [/mavros/distance_sensor/rangefinder_pub/send_tf] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,680: +PARAM [/mavros/time/timesync_mode] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,680: +PARAM [/mavros/setpoint_accel/send_force] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,681: +PARAM [/mavros/gcs_url] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,681: +PARAM [/camera/driver/color_width] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,681: +PARAM [/mavros/fake_gps/use_mocap] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,682: +PARAM [/camera/driver/enable_ir2] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,682: +PARAM [/mavros/local_position/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,682: +PARAM [/mavros/setpoint_attitude/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,683: +PARAM [/mavros/target_component_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,683: +PARAM [/cone_finder/height_25ft] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,683: +PARAM [/camera/driver/depth_height] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,683: +PARAM [/mavros/cmd/use_comp_id_system_control] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,684: +PARAM [/mavros/plugin_whitelist] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,684: +PARAM [/mavros/fake_gps/fix_type] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,684: +PARAM [/cone_finder/height_15ft] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,685: +PARAM [/camera/driver/usb_port_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,685: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,685: +PARAM [/camera/driver/camera_type] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,685: +PARAM [/mavros/conn/heartbeat_rate] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,686: +PARAM [/mavros/distance_sensor/rangefinder_sub/orientation] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,686: +PARAM [/mavros/mocap/use_pose] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,686: +PARAM [/camera/driver/depth_fps] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,687: +PARAM [/mavros/global_position/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,687: +PARAM [/mavros/tdr_radio/low_rssi] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,687: +PARAM [/mavros/setpoint_attitude/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,688: +PARAM [/cone_finder/min_area] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,688: +PARAM [/cone_finder/search_throttle_on_road] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,688: +PARAM [/mavros/global_position/use_relative_alt] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,688: +PARAM [/camera/driver/depth_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,689: +PARAM [/CONE_ON_GRASS] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,689: +PARAM [/camera/driver/depth_width] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,689: +PARAM [/cone_finder/min_throttle_on_road] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,690: +PARAM [/mavros/setpoint_position/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,690: +PARAM [/mavros/fake_gps/geo_origin/alt] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,690: +PARAM [/mavros/safety_area/p1/z] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,690: +PARAM [/mavros/safety_area/p1/y] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,691: +PARAM [/mavros/safety_area/p1/x] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,691: +PARAM [/mavros/fake_gps/eph] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,691: +PARAM [/mavros/global_position/tf/send] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,692: +PARAM [/mavros/vision_pose/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,692: +PARAM [/mavros/vibration/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,692: +PARAM [/mavros/fake_gps/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,692: +PARAM [/mavros/safety_area/p2/z] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,693: +PARAM [/cone_finder/height_max] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,693: +PARAM [/mavros/setpoint_attitude/use_quaternion] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,693: +PARAM [/mavros/fake_gps/satellites_visible] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,694: +PARAM [/mavros/time/time_ref_source] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,694: +PARAM [/mavros/target_system_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:42:18,694: +PARAM [/mavros/fake_gps/epv] by /roslaunch
