[rosmaster.main][INFO] 2019-05-31 19:32:47,706: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-05-31 19:32:47,707: Starting ROS Master Node
[xmlrpc][INFO] 2019-05-31 19:32:47,711: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-05-31 19:32:47,712: Started XML-RPC server [http://10.0.0.166:11311/]
[rosmaster.master][INFO] 2019-05-31 19:32:47,713: Master initialized: port[11311], uri[http://10.0.0.166:11311/]
[xmlrpc][INFO] 2019-05-31 19:32:47,713: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-05-31 19:32:47,808: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:32:47,812: +PARAM [/roslaunch/uris/host_10_0_0_166__40330] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:32:48,296: +SERVICE [/rosout/get_loggers] /rosout http://10.0.0.166:40171/
[rosmaster.master][INFO] 2019-05-31 19:32:48,376: +PARAM [/STM2-CFG35/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:32:48,377: +SERVICE [/rosout/set_logger_level] /rosout http://10.0.0.166:40171/
[rosmaster.master][INFO] 2019-05-31 19:32:48,378: +PARAM [/STM2-CFG32/desc] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:32:48,379: +PARAM [/STM2-CFG07/class] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:32:48,379: +PARAM [/STM2-CFG07/desc] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:32:48,380: +PARAM [/STM2-CFG03/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:32:48,382: +PARAM [/STM2-CFG30/class] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:32:48,382: +PARAM [/STM2-CFG32/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:32:48,383: +PARAM [/STM2-CFG34/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:32:48,384: +PARAM [/STM2-CFG37/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:32:48,385: +PUB [/rosout_agg] /rosout http://10.0.0.166:40171/
[rosmaster.master][INFO] 2019-05-31 19:32:48,385: +PARAM [/STM2-CFG33/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:32:48,387: +PARAM [/STM2/retry] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:32:48,389: +PARAM [/STM2-CFG31/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:32:48,390: +PARAM [/STM2-CFG38/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:32:48,392: +PARAM [/STM2-CFG30/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:32:48,392: +PARAM [/STM2-CFG62/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:32:48,393: +PARAM [/STM2-CFG62/desc] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:32:48,395: +PARAM [/STM2-CFG42/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:32:48,396: +PARAM [/STM2-CFG04/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:32:48,396: +PARAM [/STM2-CFG39/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:32:48,397: +PARAM [/STM2-CFG32/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:32:48,398: +PARAM [/STM2-CFG40/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:32:48,399: +PARAM [/STM2-CFG41/id] by /roslaunch
