[rosmaster.main][INFO] 2017-10-18 07:49:30,947: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-18 07:49:30,947: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-18 07:49:30,952: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-18 07:49:30,953: Started XML-RPC server [http://10.0.0.116:11311/]
[xmlrpc][INFO] 2017-10-18 07:49:30,954: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-18 07:49:30,954: Master initialized: port[11311], uri[http://10.0.0.116:11311/]
[rosmaster.master][INFO] 2017-10-18 07:49:31,023: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:49:31,029: +PARAM [/roslaunch/uris/host_10_0_0_116__42115] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:49:31,495: +SERVICE [/rosout/get_loggers] /rosout http://10.0.0.116:35103/
[rosmaster.master][INFO] 2017-10-18 07:49:31,498: +SERVICE [/rosout/set_logger_level] /rosout http://10.0.0.116:35103/
[rosmaster.master][INFO] 2017-10-18 07:49:31,503: +PUB [/rosout_agg] /rosout http://10.0.0.116:35103/
[rosmaster.master][INFO] 2017-10-18 07:49:31,573: +PARAM [/camera/driver/color_fps] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:49:31,574: +PARAM [/mavros/imu/linear_acceleration_stdev] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:49:31,574: +PARAM [/cone_finder/height_3ft] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:49:31,575: +PARAM [/mavros/image/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:49:31,575: +PARAM [/mavros/setpoint_attitude/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:49:31,575: +PARAM [/camera/disparity_registered_sw/max_range] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:49:31,576: +PARAM [/camera/disparity_registered_sw/min_range] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:49:31,576: +PARAM [/cone_finder/max_throttle_on_road] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:49:31,577: +PARAM [/camera/driver/enable_depth] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:49:31,578: +PARAM [/mavros/setpoint_position/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:49:31,578: +PARAM [/camera/points_xyzrgb_sw_registered/queue_size] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:49:31,578: +PARAM [/mavros/sys/disable_diag] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:49:31,580: +PARAM [/mavros/distance_sensor/rangefinder_pub/id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:49:31,581: +PARAM [/mavros/distance_sensor/rangefinder_pub/sensor_position/z] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:49:31,582: +PARAM [/mavros/distance_sensor/rangefinder_pub/sensor_position/y] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:49:31,584: +PARAM [/mavros/distance_sensor/rangefinder_pub/sensor_position/x] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:49:31,584: +PARAM [/mavros/startup_px4_usb_quirk] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:49:31,585: +PARAM [/cone_finder/search_period] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:49:31,585: +PARAM [/cone_finder/height_10ft] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:49:31,586: +PARAM [/camera/camera_nodelet_manager/num_worker_threads] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:49:31,588: +PARAM [/mavros/imu/orientation_stdev] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:49:31,589: +PARAM [/cone_finder/height_5ft] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:49:31,590: +PARAM [/mavros/fake_gps/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:49:31,590: +PARAM [/cone_finder/min_confidence] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:49:31,592: +PARAM [/mavros/safety_area/p2/x] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:49:31,594: +SUB [/rosout] /rosout http://10.0.0.116:35103/
[rosmaster.master][INFO] 2017-10-18 07:49:31,595: +PARAM [/mavros/px4flow/ranger_fov] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:49:31,596: +PARAM [/mavros/safety_area/p2/y] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:49:31,597: +PARAM [/camera/driver/enable_color] by /roslaunch
