[rosmaster.main][INFO] 2019-06-03 09:13:40,316: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-03 09:13:40,316: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-03 09:13:40,321: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-03 09:13:40,322: Started XML-RPC server [http://10.0.0.166:11311/]
[rosmaster.master][INFO] 2019-06-03 09:13:40,322: Master initialized: port[11311], uri[http://10.0.0.166:11311/]
[xmlrpc][INFO] 2019-06-03 09:13:40,323: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-03 09:13:40,417: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,422: +PARAM [/roslaunch/uris/host_10_0_0_166__33187] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,868: +SERVICE [/rosout/get_loggers] /rosout http://10.0.0.166:37554/
[rosmaster.master][INFO] 2019-06-03 09:13:40,952: +PARAM [/STM2-CFG35/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,953: +PARAM [/STM2-CFG32/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,954: +PARAM [/STM2-CFG07/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,954: +PARAM [/STM2-CFG07/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,954: +PARAM [/STM2-CFG03/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,956: +SERVICE [/rosout/set_logger_level] /rosout http://10.0.0.166:37554/
[rosmaster.master][INFO] 2019-06-03 09:13:40,957: +PARAM [/STM2-CFG30/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,958: +PARAM [/STM2-CFG32/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,958: +PARAM [/STM2-CFG34/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,959: +PARAM [/STM2-CFG37/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,961: +PARAM [/STM2-CFG33/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,962: +PARAM [/STM2/retry] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,962: +PARAM [/STM2-CFG31/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,962: +PARAM [/STM2-CFG38/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,963: +PARAM [/STM2-CFG30/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,964: +PARAM [/STM2-CFG62/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,966: +PUB [/rosout_agg] /rosout http://10.0.0.166:37554/
[rosmaster.master][INFO] 2019-06-03 09:13:40,966: +PARAM [/STM2-CFG62/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,968: +PARAM [/STM2-CFG42/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,969: +PARAM [/STM2-CFG04/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,971: +PARAM [/STM2-CFG39/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,972: +PARAM [/STM2-CFG32/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,972: +PARAM [/STM2-CFG40/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,973: +PARAM [/STM2-CFG41/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,974: +PARAM [/STM2-CFG30/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,976: +PARAM [/STM2-CFG61/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,978: +PARAM [/STM2-CFG33/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,979: +PARAM [/STM2-CFG61/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,981: +PARAM [/STM2/QUEUE2/name] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,982: +PARAM [/STM2-CFG37/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,982: +PARAM [/STM2/QUEUE2/rw] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,983: +PARAM [/STM2-CFG04/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,985: +PARAM [/STM1/port] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,985: +PARAM [/STM2-CFG03/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,986: +PARAM [/STM2-CFG41/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,986: +PARAM [/STM2-CFG35/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,987: +PARAM [/STM2-CFG40/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,988: +PARAM [/STM2-CFG34/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,989: +SUB [/rosout] /rosout http://10.0.0.166:37554/
[rosmaster.master][INFO] 2019-06-03 09:13:40,989: +PARAM [/STM1/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,990: +PARAM [/STM2-CFG60/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:13:40,991: +PARAM [/STM1/QUEUE1/rw] by /roslaunch
