[rosmaster.main][INFO] 2019-05-31 19:25:42,950: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-05-31 19:25:42,950: Starting ROS Master Node
[xmlrpc][INFO] 2019-05-31 19:25:42,955: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-05-31 19:25:42,957: Started XML-RPC server [http://10.0.0.166:11311/]
[xmlrpc][INFO] 2019-05-31 19:25:42,957: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-05-31 19:25:42,957: Master initialized: port[11311], uri[http://10.0.0.166:11311/]
[rosmaster.master][INFO] 2019-05-31 19:25:43,046: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:25:43,053: +PARAM [/roslaunch/uris/host_10_0_0_166__43612] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:25:43,566: +SERVICE [/rosout/get_loggers] /rosout http://10.0.0.166:46044/
[rosmaster.master][INFO] 2019-05-31 19:25:43,586: +PARAM [/STM2-CFG35/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:25:43,587: +PARAM [/STM2-CFG32/desc] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:25:43,588: +PARAM [/STM2-CFG07/class] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:25:43,590: +SERVICE [/rosout/set_logger_level] /rosout http://10.0.0.166:46044/
[rosmaster.master][INFO] 2019-05-31 19:25:43,590: +PARAM [/STM2-CFG07/desc] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:25:43,591: +PARAM [/STM2-CFG03/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:25:43,593: +PARAM [/STM2-CFG30/class] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:25:43,594: +PARAM [/STM2-CFG32/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:25:43,594: +PARAM [/STM2-CFG34/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:25:43,595: +PARAM [/STM2-CFG37/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:25:43,595: +PARAM [/STM2-CFG33/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:25:43,597: +PUB [/rosout_agg] /rosout http://10.0.0.166:46044/
[rosmaster.master][INFO] 2019-05-31 19:25:43,597: +PARAM [/STM2/retry] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:25:43,598: +PARAM [/STM2-CFG31/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:25:43,599: +PARAM [/STM2-CFG38/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:25:43,601: +PARAM [/STM2-CFG30/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:25:43,602: +PARAM [/STM2-CFG62/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:25:43,603: +PARAM [/STM2-CFG62/desc] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:25:43,604: +PARAM [/STM2-CFG42/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:25:43,606: +PARAM [/STM2-CFG04/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:25:43,606: +PARAM [/STM2-CFG39/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:25:43,607: +PARAM [/STM2-CFG32/msgId] by /roslaunch
