[rosmaster.main][INFO] 2019-06-03 09:42:26,279: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-03 09:42:26,279: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-03 09:42:26,284: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-03 09:42:26,285: Started XML-RPC server [http://10.0.0.166:11311/]
[xmlrpc][INFO] 2019-06-03 09:42:26,285: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-03 09:42:26,286: Master initialized: port[11311], uri[http://10.0.0.166:11311/]
[rosmaster.master][INFO] 2019-06-03 09:42:26,370: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:42:26,374: +PARAM [/roslaunch/uris/host_10_0_0_166__38807] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:42:26,888: +PARAM [/STM2-CFG35/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:42:26,888: +PARAM [/STM2-CFG32/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:42:26,890: +SERVICE [/rosout/get_loggers] /rosout http://10.0.0.166:37903/
[rosmaster.master][INFO] 2019-06-03 09:42:26,890: +PARAM [/STM2-CFG07/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:42:26,892: +PARAM [/STM2-CFG07/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:42:26,892: +PARAM [/STM2-CFG03/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:42:26,893: +PARAM [/STM2-CFG30/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:42:26,895: +PARAM [/STM2-CFG32/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:42:26,895: +SERVICE [/rosout/set_logger_level] /rosout http://10.0.0.166:37903/
[rosmaster.master][INFO] 2019-06-03 09:42:26,895: +PARAM [/STM2-CFG34/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:42:26,897: +PARAM [/STM2-CFG37/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:42:26,897: +PARAM [/STM2-CFG33/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:42:26,898: +PARAM [/STM2/retry] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:42:26,900: +PARAM [/STM2-CFG31/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:42:26,901: +PARAM [/STM2-CFG38/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:42:26,902: +PARAM [/STM2-CFG30/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:42:26,903: +PARAM [/STM2-CFG62/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:42:26,904: +PARAM [/STM2-CFG62/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:42:26,905: +PARAM [/STM2-CFG42/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:42:26,906: +PUB [/rosout_agg] /rosout http://10.0.0.166:37903/
[rosmaster.master][INFO] 2019-06-03 09:42:26,907: +PARAM [/STM2-CFG04/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:42:26,908: +PARAM [/STM2-CFG39/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:42:26,909: +PARAM [/STM2-CFG32/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:42:26,911: +PARAM [/STM2-CFG40/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:42:26,911: +PARAM [/STM2-CFG41/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:42:26,912: +PARAM [/STM2-CFG30/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:42:26,912: +PARAM [/STM2-CFG61/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:42:26,913: +PARAM [/STM2-CFG33/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:42:26,913: +PARAM [/STM2-CFG61/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:42:26,913: +PARAM [/STM2/QUEUE2/name] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:42:26,914: +PARAM [/STM2-CFG37/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:42:26,914: +PARAM [/STM2/QUEUE2/rw] by /roslaunch
