[rosmaster.main][INFO] 2019-06-04 16:08:03,566: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-04 16:08:03,567: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-04 16:08:03,571: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-04 16:08:03,573: Started XML-RPC server [http://10.0.0.166:11311/]
[rosmaster.master][INFO] 2019-06-04 16:08:03,575: Master initialized: port[11311], uri[http://10.0.0.166:11311/]
[xmlrpc][INFO] 2019-06-04 16:08:03,575: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-04 16:08:03,655: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:08:03,660: +PARAM [/roslaunch/uris/host_10_0_0_166__41082] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:08:04,188: +PARAM [/STM2-CFG35/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:08:04,188: +PARAM [/STM2-CFG32/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:08:04,189: +PARAM [/STM2-CFG07/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:08:04,190: +PARAM [/STM2-CFG07/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:08:04,190: +PARAM [/STM2-CFG03/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:08:04,192: +SERVICE [/rosout/get_loggers] /rosout http://10.0.0.166:36210/
[rosmaster.master][INFO] 2019-06-04 16:08:04,192: +PARAM [/STM2-CFG30/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:08:04,193: +PARAM [/STM2-CFG32/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:08:04,194: +PARAM [/STM2-CFG34/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:08:04,195: +PARAM [/STM2-CFG37/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:08:04,195: +PARAM [/STM2-CFG33/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:08:04,196: +SERVICE [/rosout/set_logger_level] /rosout http://10.0.0.166:36210/
[rosmaster.master][INFO] 2019-06-04 16:08:04,197: +PARAM [/STM2/retry] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:08:04,198: +PARAM [/STM2-CFG31/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:08:04,199: +PARAM [/STM2-CFG38/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:08:04,202: +PARAM [/STM2-CFG30/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:08:04,203: +PUB [/rosout_agg] /rosout http://10.0.0.166:36210/
[rosmaster.master][INFO] 2019-06-04 16:08:04,204: +PARAM [/STM2-CFG62/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:08:04,205: +PARAM [/STM2-CFG62/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:08:04,207: +PARAM [/STM2-CFG42/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:08:04,208: +PARAM [/STM2-CFG04/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:08:04,209: +PARAM [/STM2-CFG39/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:08:04,211: +PARAM [/STM2-CFG32/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:08:04,211: +PARAM [/STM2-CFG40/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:08:04,214: +PARAM [/STM2-CFG41/id] by /roslaunch
