[rosmaster.main][INFO] 2017-10-18 07:50:15,638: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-18 07:50:15,638: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-18 07:50:15,642: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-18 07:50:15,643: Started XML-RPC server [http://10.0.0.116:11311/]
[rosmaster.master][INFO] 2017-10-18 07:50:15,644: Master initialized: port[11311], uri[http://10.0.0.116:11311/]
[xmlrpc][INFO] 2017-10-18 07:50:15,644: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-18 07:50:15,711: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:15,719: +PARAM [/roslaunch/uris/host_10_0_0_116__35873] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,177: +SERVICE [/rosout/get_loggers] /rosout http://10.0.0.116:36997/
[rosmaster.master][INFO] 2017-10-18 07:50:16,180: +SERVICE [/rosout/set_logger_level] /rosout http://10.0.0.116:36997/
[rosmaster.master][INFO] 2017-10-18 07:50:16,243: +PUB [/rosout_agg] /rosout http://10.0.0.116:36997/
[rosmaster.master][INFO] 2017-10-18 07:50:16,252: +PARAM [/camera/driver/color_fps] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,252: +PARAM [/mavros/imu/linear_acceleration_stdev] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,253: +PARAM [/cone_finder/height_3ft] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,254: +PARAM [/mavros/image/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,256: +PARAM [/mavros/setpoint_attitude/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,259: +PARAM [/camera/disparity_registered_sw/max_range] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,259: +PARAM [/camera/disparity_registered_sw/min_range] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,261: +PARAM [/cone_finder/max_throttle_on_road] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,263: +PARAM [/camera/driver/enable_depth] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,264: +PARAM [/mavros/setpoint_position/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,267: +PARAM [/camera/points_xyzrgb_sw_registered/queue_size] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,268: +PARAM [/mavros/sys/disable_diag] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,268: +PARAM [/mavros/distance_sensor/rangefinder_pub/id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,268: +PARAM [/mavros/distance_sensor/rangefinder_pub/sensor_position/z] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,269: +PARAM [/mavros/distance_sensor/rangefinder_pub/sensor_position/y] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,269: +PARAM [/mavros/distance_sensor/rangefinder_pub/sensor_position/x] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,269: +PARAM [/mavros/startup_px4_usb_quirk] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,270: +PARAM [/cone_finder/search_period] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,270: +PARAM [/cone_finder/height_10ft] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,270: +PARAM [/camera/camera_nodelet_manager/num_worker_threads] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,271: +PARAM [/mavros/imu/orientation_stdev] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,271: +PARAM [/cone_finder/height_5ft] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,271: +PARAM [/mavros/fake_gps/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,272: +PARAM [/cone_finder/min_confidence] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,272: +PARAM [/mavros/safety_area/p2/x] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,272: +PARAM [/mavros/px4flow/ranger_fov] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,273: +PARAM [/mavros/safety_area/p2/y] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,273: +PARAM [/camera/driver/enable_color] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,275: +PARAM [/camera/driver/base_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,276: +PARAM [/mavros/fake_gps/geo_origin/lon] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,277: +PARAM [/mavros/local_position/tf/send] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,278: +SUB [/rosout] /rosout http://10.0.0.116:36997/
[rosmaster.master][INFO] 2017-10-18 07:50:16,279: +PARAM [/mavros/plugin_blacklist] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,280: +PARAM [/cone_finder/search_throttle_on_grass] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,281: +PARAM [/camera/driver/enable_tf] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,281: +PARAM [/mavros/imu/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,281: +PARAM [/mavros/distance_sensor/rangefinder_sub/id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,282: +PARAM [/mavros/setpoint_attitude/reverse_thrust] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,282: +PARAM [/mavros/local_position/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,282: +PARAM [/AWAY_PCT_SERVO] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,283: +PARAM [/camera/driver/serial_no] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,283: +PARAM [/mavros/odometry/frame_tf/desired_frame] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,283: +PARAM [/mavros/local_position/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,284: +PARAM [/mavros/distance_sensor/rangefinder_pub/field_of_view] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,284: +PARAM [/mavros/distance_sensor/rangefinder_pub/send_tf] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,284: +PARAM [/mavros/time/timesync_mode] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,284: +PARAM [/mavros/setpoint_accel/send_force] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,285: +PARAM [/mavros/gcs_url] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,285: +PARAM [/camera/driver/color_width] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,285: +PARAM [/mavros/fake_gps/use_mocap] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,286: +PARAM [/camera/driver/enable_ir2] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,286: +PARAM [/mavros/local_position/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,286: +PARAM [/mavros/setpoint_attitude/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,287: +PARAM [/mavros/target_component_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,287: +PARAM [/cone_finder/height_25ft] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,287: +PARAM [/camera/driver/depth_height] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,287: +PARAM [/mavros/cmd/use_comp_id_system_control] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,288: +PARAM [/mavros/plugin_whitelist] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,288: +PARAM [/mavros/fake_gps/fix_type] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,288: +PARAM [/cone_finder/height_15ft] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,289: +PARAM [/camera/driver/usb_port_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,289: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,289: +PARAM [/camera/driver/camera_type] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,289: +PARAM [/mavros/conn/heartbeat_rate] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,290: +PARAM [/mavros/distance_sensor/rangefinder_sub/orientation] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,290: +PARAM [/mavros/mocap/use_pose] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,290: +PARAM [/camera/driver/depth_fps] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,291: +PARAM [/mavros/global_position/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,291: +PARAM [/mavros/tdr_radio/low_rssi] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,291: +PARAM [/mavros/setpoint_attitude/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,292: +PARAM [/cone_finder/min_area] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,292: +PARAM [/cone_finder/search_throttle_on_road] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,292: +PARAM [/mavros/global_position/use_relative_alt] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,292: +PARAM [/camera/driver/depth_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,293: +PARAM [/CONE_ON_GRASS] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,293: +PARAM [/camera/driver/depth_width] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,293: +PARAM [/cone_finder/min_throttle_on_road] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,294: +PARAM [/mavros/setpoint_position/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,294: +PARAM [/mavros/fake_gps/geo_origin/alt] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,294: +PARAM [/mavros/safety_area/p1/z] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,294: +PARAM [/mavros/safety_area/p1/y] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,295: +PARAM [/mavros/safety_area/p1/x] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,295: +PARAM [/mavros/fake_gps/eph] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,295: +PARAM [/mavros/global_position/tf/send] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,296: +PARAM [/mavros/vision_pose/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,296: +PARAM [/mavros/vibration/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,296: +PARAM [/mavros/fake_gps/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,297: +PARAM [/mavros/safety_area/p2/z] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,297: +PARAM [/cone_finder/height_max] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,297: +PARAM [/mavros/setpoint_attitude/use_quaternion] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,297: +PARAM [/mavros/fake_gps/satellites_visible] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,298: +PARAM [/mavros/time/time_ref_source] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,298: +PARAM [/mavros/target_system_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,298: +PARAM [/mavros/fake_gps/epv] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,299: +PARAM [/mavros/px4flow/ranger_max_range] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,299: +PARAM [/mavros/global_position/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,299: +PARAM [/camera/driver/mode] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,299: +PARAM [/cone_finder/height_2ft] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,300: +PARAM [/mavros/mission/pull_after_gcs] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,300: +PARAM [/SEGMENT_DURATION_SEC] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,300: +PARAM [/START_STATE] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,301: +PARAM [/mavros/imu/angular_velocity_stdev] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,301: +PARAM [/cone_finder/height_4ft] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,301: +PARAM [/camera/driver/enable_imu] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,302: +PARAM [/START_ITEM] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,302: +PARAM [/cone_finder/max_throttle_on_grass] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,302: +PARAM [/mavros/vision_pose/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,302: +PARAM [/mavros/global_position/tf/global_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,303: +PARAM [/mavros/vision_speed/listen_twist] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,303: +PARAM [/camera/driver/color_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,304: +PARAM [/cone_finder/throttle_distances_on_road] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,304: +PARAM [/mavros/vision_pose/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,304: +PARAM [/camera/driver/enable_pointcloud] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,305: +PARAM [/camera/depth_rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,305: +PARAM [/mavros/global_position/rot_covariance] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,305: +PARAM [/camera/driver/enable_ir] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,306: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,306: +PARAM [/mavros/fake_gps/mocap_transform] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,306: +PARAM [/mavros/setpoint_attitude/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,307: +PARAM [/mavros/mocap/use_tf] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,307: +PARAM [/mavros/conn/system_time_rate] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,307: +PARAM [/mavros/odometry/estimator_type] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,308: +PARAM [/mavros/fake_gps/tf/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,308: +PARAM [/mavros/conn/timesync_rate] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,308: +PARAM [/mavros/px4flow/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,309: +PARAM [/mavros/px4flow/ranger_min_range] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,309: +PARAM [/mavros/imu/magnetic_stdev] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,309: +PARAM [/mavros/conn/timeout] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,310: +PARAM [/cone_finder/min_throttle_on_grass] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,310: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,310: +PARAM [/mavros/fake_gps/tf/send] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,311: +PARAM [/mavros/fcu_url] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,311: +PARAM [/mavros/distance_sensor/rangefinder_sub/subscriber] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,311: +PARAM [/camera/driver/color_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,312: +PARAM [/camera/driver/enable_fisheye] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,312: +PARAM [/camera/driver/ir2_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,312: +PARAM [/mavros/setpoint_position/tf/rate_limit] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,312: +PARAM [/camera/driver/color_height] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,313: +PARAM [/mavros/vision_pose/tf/listen] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,313: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,314: +PARAM [/cone_finder/height_7ft] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,314: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,314: +PARAM [/AWAY_PCT_THROTTLE] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,314: +PARAM [/SEGMENT_EXTRA_SEC] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,315: +PARAM [/mavros/setpoint_position/tf/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,315: +PARAM [/camera/driver/ir_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,315: +PARAM [/mavros/sys/min_voltage] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,316: +PARAM [/mavros/distance_sensor/rangefinder_pub/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,316: +PARAM [/mavros/fake_gps/geo_origin/lat] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,316: +PARAM [/mavros/fake_gps/gps_rate] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,317: +PARAM [/cone_finder/throttle_distances_on_grass] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,317: +PARAM [/mavros/global_position/frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,318: +PARAM [/mavros/local_position/tf/send_fcu] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,318: +PARAM [/cone_finder/tc_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,318: +PARAM [/mavros/time/timesync_avg_alpha] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,319: +PARAM [/mavros/fake_gps/use_vision] by /roslaunch
[rosmaster.master][INFO] 2017-10-18 07:50:16,440: +PUB [/rosout] /mavros http://10.0.0.116:45828/
[rosmaster.master][INFO] 2017-10-18 07:50:16,443: publisherUpdate[/rosout] -> http://10.0.0.116:36997/ ['http://10.0.0.116:45828/']
[rosmaster.master][INFO] 2017-10-18 07:50:16,447: publisherUpdate[/rosout] -> http://10.0.0.116:36997/ ['http://10.0.0.116:45828/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-18 07:50:16,448: +SERVICE [/mavros/get_loggers] /mavros http://10.0.0.116:45828/
[rosmaster.master][INFO] 2017-10-18 07:50:16,451: +SERVICE [/mavros/set_logger_level] /mavros http://10.0.0.116:45828/
[rosmaster.master][INFO] 2017-10-18 07:50:16,459: +PUB [/diagnostics] /mavros http://10.0.0.116:45828/
[rosmaster.master][INFO] 2017-10-18 07:50:16,491: +PUB [/rosout] /camera/driver http://10.0.0.116:39016/
[rosmaster.master][INFO] 2017-10-18 07:50:16,495: +SERVICE [/camera/driver/get_loggers] /camera/driver http://10.0.0.116:39016/
[rosmaster.master][INFO] 2017-10-18 07:50:16,500: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://10.0.0.116:39016/
[rosmaster.master][INFO] 2017-10-18 07:50:16,515: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2017-10-18 07:50:16,545: +PUB [/rosout] /camera/color_debayer http://10.0.0.116:45363/
[rosmaster.master][INFO] 2017-10-18 07:50:16,546: publisherUpdate[/rosout] -> http://10.0.0.116:36997/ ['http://10.0.0.116:45828/', 'http://10.0.0.116:39016/']
[rosmaster.master][INFO] 2017-10-18 07:50:16,551: publisherUpdate[/rosout] -> http://10.0.0.116:36997/ ['http://10.0.0.116:45828/', 'http://10.0.0.116:39016/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-18 07:50:16,552: publisherUpdate[/rosout] -> http://10.0.0.116:36997/ ['http://10.0.0.116:45828/', 'http://10.0.0.116:39016/', 'http://10.0.0.116:45363/']
[rosmaster.master][INFO] 2017-10-18 07:50:16,554: publisherUpdate[/rosout] -> http://10.0.0.116:36997/ ['http://10.0.0.116:45828/', 'http://10.0.0.116:39016/', 'http://10.0.0.116:45363/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-10-18 07:50:16,555: +SERVICE [/camera/color_debayer/get_loggers] /camera/color_debayer http://10.0.0.116:45363/
[rosmaster.master][INFO] 2017-10-18 07:50:16,566: +SERVICE [/camera/color_debayer/set_logger_level] /camera/color_debayer http://10.0.0.116:45363/
[rosmaster.master][INFO] 2017-10-18 07:50:16,598: +PUB [/rosout] /camera/color_rectify_mono http://10.0.0.116:44501/
[rosmaster.master][INFO] 2017-10-18 07:50:16,607: +SERVICE [/camera/color_rectify_mono/get_loggers] /camera/color_rectify_mono http://10.0.0.116:44501/
[rosmaster.master][INFO] 2017-10-18 07:50:16,612: +SERVICE [/camera/color_rectify_mono/set_logger_level] /camera/color_rectify_mono http://10.0.0.116:44501/
[rosmaster.master][INFO] 2017-10-18 07:50:16,649: publisherUpdate[/rosout] -> http://10.0.0.116:36997/ ['http://10.0.0.116:45828/', 'http://10.0.0.116:39016/', 'http://10.0.0.116:45363/', 'http://10.0.0.116:44501/']
[rosmaster.master][INFO] 2017-10-18 07:50:16,657: publisherUpdate[/rosout] -> http://10.0.0.116:36997/ ['http://10.0.0.116:45828/', 'http://10.0.0.116:39016/', 'http://10.0.0.116:45363/', 'http://10.0.0.116:44501/']: sec=0.01, result=[1, '', 0]
