[rosmaster.main][INFO] 2019-05-31 19:26:35,789: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-05-31 19:26:35,790: Starting ROS Master Node
[xmlrpc][INFO] 2019-05-31 19:26:35,793: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-05-31 19:26:35,795: Started XML-RPC server [http://10.0.0.166:11311/]
[xmlrpc][INFO] 2019-05-31 19:26:35,796: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-05-31 19:26:35,797: Master initialized: port[11311], uri[http://10.0.0.166:11311/]
[rosmaster.master][INFO] 2019-05-31 19:26:35,887: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:26:35,891: +PARAM [/roslaunch/uris/host_10_0_0_166__35264] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:26:36,424: +PARAM [/STM2-CFG35/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:26:36,425: +SERVICE [/rosout/get_loggers] /rosout http://10.0.0.166:33206/
[rosmaster.master][INFO] 2019-05-31 19:26:36,425: +PARAM [/STM2-CFG32/desc] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:26:36,426: +PARAM [/STM2-CFG07/class] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:26:36,427: +PARAM [/STM2-CFG07/desc] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:26:36,427: +PARAM [/STM2-CFG03/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:26:36,428: +PARAM [/STM2-CFG30/class] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:26:36,428: +PARAM [/STM2-CFG32/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:26:36,429: +PARAM [/STM2-CFG34/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:26:36,429: +PARAM [/STM2-CFG37/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:26:36,430: +SERVICE [/rosout/set_logger_level] /rosout http://10.0.0.166:33206/
[rosmaster.master][INFO] 2019-05-31 19:26:36,431: +PARAM [/STM2-CFG33/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:26:36,433: +PARAM [/STM2/retry] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:26:36,435: +PARAM [/STM2-CFG31/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:26:36,436: +PARAM [/STM2-CFG38/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:26:36,437: +PARAM [/STM2-CFG30/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:26:36,437: +PARAM [/STM2-CFG62/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:26:36,437: +PARAM [/STM2-CFG62/desc] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:26:36,438: +PARAM [/STM2-CFG42/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:26:36,439: +PARAM [/STM2-CFG04/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:26:36,441: +PUB [/rosout_agg] /rosout http://10.0.0.166:33206/
[rosmaster.master][INFO] 2019-05-31 19:26:36,441: +PARAM [/STM2-CFG39/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:26:36,442: +PARAM [/STM2-CFG32/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:26:36,443: +PARAM [/STM2-CFG40/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:26:36,444: +PARAM [/STM2-CFG41/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:26:36,445: +PARAM [/STM2-CFG30/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:26:36,446: +PARAM [/STM2-CFG61/class] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:26:36,447: +PARAM [/STM2-CFG33/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:26:36,447: +PARAM [/STM2-CFG61/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:26:36,449: +PARAM [/STM2/QUEUE2/name] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:26:36,450: +PARAM [/STM2-CFG37/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:26:36,450: +PARAM [/STM2/QUEUE2/rw] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:26:36,451: +PARAM [/STM2-CFG04/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:26:36,454: +PARAM [/STM1/port] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:26:36,454: +PARAM [/STM2-CFG03/class] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:26:36,456: +PARAM [/STM2-CFG41/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:26:36,456: +PARAM [/STM2-CFG35/class] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:26:36,459: +PARAM [/STM2-CFG40/class] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:26:36,460: +PARAM [/STM2-CFG34/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:26:36,461: +PARAM [/STM1/desc] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:26:36,462: +SUB [/rosout] /rosout http://10.0.0.166:33206/
[rosmaster.master][INFO] 2019-05-31 19:26:36,463: +PARAM [/STM2-CFG60/ioPorts] by /roslaunch
