[rosmaster.main][INFO] 2019-06-03 13:03:43,038: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-03 13:03:43,038: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-03 13:03:43,043: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-03 13:03:43,045: Started XML-RPC server [http://10.0.0.166:11311/]
[rosmaster.master][INFO] 2019-06-03 13:03:43,046: Master initialized: port[11311], uri[http://10.0.0.166:11311/]
[xmlrpc][INFO] 2019-06-03 13:03:43,047: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-03 13:03:43,132: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:03:43,138: +PARAM [/roslaunch/uris/host_10_0_0_166__37812] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:03:43,649: +PARAM [/STM2-CFG35/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:03:43,651: +PARAM [/STM2-CFG32/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:03:43,652: +PARAM [/STM2-CFG07/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:03:43,652: +PARAM [/STM2-CFG07/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:03:43,652: +PARAM [/STM2-CFG03/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:03:43,653: +PARAM [/STM2-CFG30/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:03:43,653: +PARAM [/STM2-CFG32/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:03:43,655: +SERVICE [/rosout/get_loggers] /rosout http://10.0.0.166:33864/
[rosmaster.master][INFO] 2019-06-03 13:03:43,655: +PARAM [/STM2-CFG34/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:03:43,657: +PARAM [/STM2-CFG37/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:03:43,657: +PARAM [/STM2-CFG33/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:03:43,658: +PARAM [/STM2/retry] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:03:43,658: +PARAM [/STM2-CFG31/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:03:43,659: +PARAM [/STM2-CFG38/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:03:43,660: +SERVICE [/rosout/set_logger_level] /rosout http://10.0.0.166:33864/
[rosmaster.master][INFO] 2019-06-03 13:03:43,660: +PARAM [/STM2-CFG30/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:03:43,662: +PARAM [/STM2-CFG62/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:03:43,662: +PARAM [/STM2-CFG62/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:03:43,664: +PARAM [/STM2-CFG42/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:03:43,665: +PARAM [/STM2-CFG04/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:03:43,666: +PARAM [/STM2-CFG39/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 13:03:43,667: +PUB [/rosout_agg] /rosout http://10.0.0.166:33864/
