[rosmaster.main][INFO] 2019-06-04 15:47:13,143: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-04 15:47:13,143: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-04 15:47:13,148: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-04 15:47:13,150: Started XML-RPC server [http://10.0.0.166:11311/]
[rosmaster.master][INFO] 2019-06-04 15:47:13,150: Master initialized: port[11311], uri[http://10.0.0.166:11311/]
[xmlrpc][INFO] 2019-06-04 15:47:13,150: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-04 15:47:13,240: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:47:13,246: +PARAM [/roslaunch/uris/host_10_0_0_166__44700] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:47:13,686: +SERVICE [/rosout/get_loggers] /rosout http://10.0.0.166:40976/
[rosmaster.master][INFO] 2019-06-04 15:47:13,688: +SERVICE [/rosout/set_logger_level] /rosout http://10.0.0.166:40976/
[rosmaster.master][INFO] 2019-06-04 15:47:13,768: +PARAM [/STM2-CFG35/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:47:13,769: +PARAM [/STM2-CFG32/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:47:13,771: +PARAM [/STM2-CFG07/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:47:13,771: +PARAM [/STM2-CFG07/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:47:13,771: +PARAM [/STM2-CFG03/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:47:13,772: +PARAM [/STM2-CFG30/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:47:13,772: +PARAM [/STM2-CFG32/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:47:13,774: +PUB [/rosout_agg] /rosout http://10.0.0.166:40976/
[rosmaster.master][INFO] 2019-06-04 15:47:13,775: +PARAM [/STM2-CFG34/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:47:13,776: +PARAM [/STM2-CFG37/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:47:13,776: +PARAM [/STM2-CFG33/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:47:13,778: +PARAM [/STM2/retry] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:47:13,779: +PARAM [/STM2-CFG31/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:47:13,780: +PARAM [/STM2-CFG38/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:47:13,780: +PARAM [/STM2-CFG30/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:47:13,780: +PARAM [/STM2-CFG62/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:47:13,781: +PARAM [/STM2-CFG62/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:47:13,781: +PARAM [/STM2-CFG42/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:47:13,781: +PARAM [/STM2-CFG04/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:47:13,782: +PARAM [/STM2-CFG39/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:47:13,782: +PARAM [/STM2-CFG32/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:47:13,784: +PARAM [/STM2-CFG40/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:47:13,785: +PARAM [/STM2-CFG41/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:47:13,786: +PARAM [/STM2-CFG30/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:47:13,786: +PARAM [/STM2-CFG61/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:47:13,786: +PARAM [/STM2-CFG33/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:47:13,787: +PARAM [/STM2-CFG61/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:47:13,787: +PARAM [/STM2/QUEUE2/name] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:47:13,787: +PARAM [/STM2-CFG37/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:47:13,788: +PARAM [/STM2/QUEUE2/rw] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:47:13,788: +PARAM [/STM2-CFG04/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:47:13,788: +PARAM [/STM1/port] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:47:13,788: +PARAM [/STM2-CFG03/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:47:13,789: +PARAM [/STM2-CFG41/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:47:13,789: +PARAM [/STM2-CFG35/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:47:13,789: +PARAM [/STM2-CFG40/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:47:13,790: +PARAM [/STM2-CFG34/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:47:13,791: +PARAM [/STM1/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 15:47:13,791: +PARAM [/STM2-CFG60/ioPorts] by /roslaunch
