[rosmaster.main][INFO] 2019-06-04 16:01:59,647: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-04 16:01:59,648: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-04 16:01:59,652: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-04 16:01:59,653: Started XML-RPC server [http://10.0.0.166:11311/]
[rosmaster.master][INFO] 2019-06-04 16:01:59,654: Master initialized: port[11311], uri[http://10.0.0.166:11311/]
[xmlrpc][INFO] 2019-06-04 16:01:59,654: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-04 16:01:59,743: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:01:59,748: +PARAM [/roslaunch/uris/host_10_0_0_166__39099] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:02:00,257: +SERVICE [/rosout/get_loggers] /rosout http://10.0.0.166:39543/
[rosmaster.master][INFO] 2019-06-04 16:02:00,269: +PARAM [/STM2-CFG35/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:02:00,270: +PARAM [/STM2-CFG32/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:02:00,271: +PARAM [/STM2-CFG07/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:02:00,271: +PARAM [/STM2-CFG07/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:02:00,272: +SERVICE [/rosout/set_logger_level] /rosout http://10.0.0.166:39543/
[rosmaster.master][INFO] 2019-06-04 16:02:00,273: +PARAM [/STM2-CFG03/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:02:00,274: +PARAM [/STM2-CFG30/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:02:00,274: +PARAM [/STM2-CFG32/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:02:00,275: +PARAM [/STM2-CFG34/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:02:00,275: +PARAM [/STM2-CFG37/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:02:00,276: +PARAM [/STM2-CFG33/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:02:00,278: +PARAM [/STM2/retry] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:02:00,278: +PARAM [/STM2-CFG31/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:02:00,279: +PARAM [/STM2-CFG38/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:02:00,279: +PARAM [/STM2-CFG30/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:02:00,280: +PARAM [/STM2-CFG62/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-04 16:02:00,280: +PARAM [/STM2-CFG62/desc] by /roslaunch
