[rosmaster.main][INFO] 2019-05-31 19:27:15,813: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-05-31 19:27:15,813: Starting ROS Master Node
[xmlrpc][INFO] 2019-05-31 19:27:15,817: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-05-31 19:27:15,819: Started XML-RPC server [http://10.0.0.166:11311/]
[rosmaster.master][INFO] 2019-05-31 19:27:15,820: Master initialized: port[11311], uri[http://10.0.0.166:11311/]
[xmlrpc][INFO] 2019-05-31 19:27:15,821: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-05-31 19:27:15,911: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:27:15,917: +PARAM [/roslaunch/uris/host_10_0_0_166__36956] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:27:16,452: +PARAM [/STM2-CFG35/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:27:16,453: +PARAM [/STM2-CFG32/desc] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:27:16,453: +PARAM [/STM2-CFG07/class] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:27:16,453: +PARAM [/STM2-CFG07/desc] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:27:16,454: +PARAM [/STM2-CFG03/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:27:16,454: +PARAM [/STM2-CFG30/class] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:27:16,454: +PARAM [/STM2-CFG32/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:27:16,455: +PARAM [/STM2-CFG34/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:27:16,455: +PARAM [/STM2-CFG37/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:27:16,455: +PARAM [/STM2-CFG33/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:27:16,456: +PARAM [/STM2/retry] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:27:16,456: +PARAM [/STM2-CFG31/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:27:16,456: +PARAM [/STM2-CFG38/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:27:16,457: +PARAM [/STM2-CFG30/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:27:16,457: +PARAM [/STM2-CFG62/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:27:16,457: +PARAM [/STM2-CFG62/desc] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:27:16,458: +PARAM [/STM2-CFG42/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:27:16,458: +PARAM [/STM2-CFG04/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:27:16,458: +PARAM [/STM2-CFG39/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:27:16,459: +PARAM [/STM2-CFG32/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:27:16,459: +PARAM [/STM2-CFG40/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:27:16,459: +PARAM [/STM2-CFG41/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:27:16,459: +PARAM [/STM2-CFG30/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:27:16,460: +PARAM [/STM2-CFG61/class] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:27:16,460: +PARAM [/STM2-CFG33/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:27:16,460: +PARAM [/STM2-CFG61/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:27:16,461: +PARAM [/STM2/QUEUE2/name] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:27:16,461: +PARAM [/STM2-CFG37/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:27:16,461: +PARAM [/STM2/QUEUE2/rw] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:27:16,461: +PARAM [/STM2-CFG04/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:27:16,462: +PARAM [/STM1/port] by /roslaunch
