[rosmaster.main][INFO] 2019-06-02 16:18:59,227: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-02 16:18:59,228: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-02 16:18:59,230: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-02 16:18:59,231: Started XML-RPC server [http://10.0.0.166:11311/]
[rosmaster.master][INFO] 2019-06-02 16:18:59,231: Master initialized: port[11311], uri[http://10.0.0.166:11311/]
[xmlrpc][INFO] 2019-06-02 16:18:59,231: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-02 16:18:59,310: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,314: +PARAM [/roslaunch/uris/host_10_0_0_166__36172] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,856: +PARAM [/STM2-CFG35/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,857: +PARAM [/STM2-CFG32/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,858: +SERVICE [/rosout/get_loggers] /rosout http://10.0.0.166:36743/
[rosmaster.master][INFO] 2019-06-02 16:18:59,859: +PARAM [/STM2-CFG07/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,860: +PARAM [/STM2-CFG07/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,861: +PARAM [/STM2-CFG03/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,861: +PARAM [/STM2-CFG30/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,863: +SERVICE [/rosout/set_logger_level] /rosout http://10.0.0.166:36743/
[rosmaster.master][INFO] 2019-06-02 16:18:59,863: +PARAM [/STM2-CFG32/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,866: +PARAM [/STM2-CFG34/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,867: +PARAM [/STM2-CFG37/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,867: +PARAM [/STM2-CFG33/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,868: +PARAM [/STM2/retry] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,869: +PUB [/rosout_agg] /rosout http://10.0.0.166:36743/
[rosmaster.master][INFO] 2019-06-02 16:18:59,870: +PARAM [/STM2-CFG31/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,871: +PARAM [/STM2-CFG38/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,871: +PARAM [/STM2-CFG30/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,873: +PARAM [/STM2-CFG62/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,874: +PARAM [/STM2-CFG62/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,876: +PARAM [/STM2-CFG42/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,878: +PARAM [/STM2-CFG04/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,878: +PARAM [/STM2-CFG39/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,881: +PARAM [/STM2-CFG32/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,881: +PARAM [/STM2-CFG40/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,882: +PARAM [/STM2-CFG41/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,883: +PARAM [/STM2-CFG30/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,884: +PARAM [/STM2-CFG61/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,885: +PARAM [/STM2-CFG33/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,886: +PARAM [/STM2-CFG61/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,888: +PARAM [/STM2/QUEUE2/name] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,888: +PARAM [/STM2-CFG37/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,889: +PARAM [/STM2/QUEUE2/rw] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,891: +SUB [/rosout] /rosout http://10.0.0.166:36743/
[rosmaster.master][INFO] 2019-06-02 16:18:59,891: +PARAM [/STM2-CFG04/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,892: +PARAM [/STM1/port] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,893: +PARAM [/STM2-CFG03/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,893: +PARAM [/STM2-CFG41/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,893: +PARAM [/STM2-CFG35/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,894: +PARAM [/STM2-CFG40/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,894: +PARAM [/STM2-CFG34/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,894: +PARAM [/STM1/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,895: +PARAM [/STM2-CFG60/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,895: +PARAM [/STM1/QUEUE1/rw] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,895: +PARAM [/STM2-CFG05/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,896: +PARAM [/STM2-CFG06/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,896: +PARAM [/STM2-CFG81/prot_in] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,896: +PARAM [/STM2-CFG81/prot_out] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,897: +PARAM [/STM2-CFG03/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,897: +PARAM [/STM4/listener] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,897: +PARAM [/STM2-CFG38/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,898: +PARAM [/STM2-CFG63/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,898: +PARAM [/STM2-CFG60/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,898: +PARAM [/STM2/QUEUE2/type] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,899: +PARAM [/STM2-CFG08/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,899: +PARAM [/STM2-CFG40/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-02 16:18:59,899: +PARAM [/STM2-CFG30/desc] by /roslaunch
