[rosmaster.main][INFO] 2019-06-06 08:57:50,756: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-06 08:57:50,757: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-06 08:57:50,761: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-06 08:57:50,762: Started XML-RPC server [http://10.0.0.166:11311/]
[xmlrpc][INFO] 2019-06-06 08:57:50,762: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-06 08:57:50,763: Master initialized: port[11311], uri[http://10.0.0.166:11311/]
[rosmaster.master][INFO] 2019-06-06 08:57:50,808: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:57:50,813: +PARAM [/roslaunch/uris/host_10_0_0_166__35763] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:57:51,335: +PARAM [/STM2-CFG35/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:57:51,336: +PARAM [/STM2-CFG32/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:57:51,337: +PARAM [/STM2-CFG07/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:57:51,337: +PARAM [/STM2-CFG07/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:57:51,338: +PARAM [/STM2-CFG03/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:57:51,338: +PARAM [/STM2-CFG30/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:57:51,341: +PARAM [/STM2-CFG32/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:57:51,341: +SERVICE [/rosout/get_loggers] /rosout http://10.0.0.166:33778/
[rosmaster.master][INFO] 2019-06-06 08:57:51,342: +PARAM [/STM2-CFG34/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:57:51,343: +PARAM [/STM2-CFG37/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:57:51,345: +PARAM [/STM2-CFG33/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:57:51,346: +PARAM [/STM2/retry] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:57:51,347: +PARAM [/STM2-CFG31/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:57:51,349: +SERVICE [/rosout/set_logger_level] /rosout http://10.0.0.166:33778/
[rosmaster.master][INFO] 2019-06-06 08:57:51,349: +PARAM [/STM2-CFG38/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:57:51,351: +PARAM [/STM2-CFG30/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:57:51,351: +PARAM [/STM2-CFG62/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:57:51,352: +PARAM [/STM2-CFG62/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:57:51,354: +PARAM [/STM2-CFG42/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:57:51,355: +PARAM [/STM2-CFG04/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:57:51,356: +PARAM [/STM2-CFG39/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:57:51,356: +PARAM [/STM2-CFG32/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:57:51,357: +PARAM [/STM2-CFG40/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:57:51,358: +PARAM [/STM2-CFG41/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:57:51,359: +PARAM [/STM2-CFG30/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:57:51,360: +PUB [/rosout_agg] /rosout http://10.0.0.166:33778/
[rosmaster.master][INFO] 2019-06-06 08:57:51,360: +PARAM [/STM2-CFG61/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:57:51,361: +PARAM [/STM2-CFG33/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:57:51,362: +PARAM [/STM2-CFG61/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:57:51,363: +PARAM [/STM2/QUEUE2/name] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:57:51,365: +PARAM [/STM2-CFG37/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:57:51,366: +PARAM [/STM2/QUEUE2/rw] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:57:51,366: +PARAM [/STM2-CFG04/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:57:51,367: +PARAM [/STM1/port] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:57:51,370: +PARAM [/STM2-CFG03/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:57:51,373: +PARAM [/STM2-CFG41/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-06 08:57:51,373: +PARAM [/STM2-CFG35/class] by /roslaunch
