[rosmaster.main][INFO] 2019-05-31 19:34:58,582: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-05-31 19:34:58,583: Starting ROS Master Node
[xmlrpc][INFO] 2019-05-31 19:34:58,586: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-05-31 19:34:58,587: Started XML-RPC server [http://10.0.0.166:11311/]
[xmlrpc][INFO] 2019-05-31 19:34:58,587: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-05-31 19:34:58,588: Master initialized: port[11311], uri[http://10.0.0.166:11311/]
[rosmaster.master][INFO] 2019-05-31 19:34:58,659: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:58,664: +PARAM [/roslaunch/uris/host_10_0_0_166__40462] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,214: +PARAM [/STM2-CFG35/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,216: +SERVICE [/rosout/get_loggers] /rosout http://10.0.0.166:38923/
[rosmaster.master][INFO] 2019-05-31 19:34:59,217: +PARAM [/STM2-CFG32/desc] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,219: +PARAM [/STM2-CFG07/class] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,220: +PARAM [/STM2-CFG07/desc] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,221: +PARAM [/STM2-CFG03/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,223: +PARAM [/STM2-CFG30/class] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,223: +SERVICE [/rosout/set_logger_level] /rosout http://10.0.0.166:38923/
[rosmaster.master][INFO] 2019-05-31 19:34:59,224: +PARAM [/STM2-CFG32/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,225: +PARAM [/STM2-CFG34/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,226: +PARAM [/STM2-CFG37/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,228: +PARAM [/STM2-CFG33/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,228: +PARAM [/STM2/retry] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,229: +PARAM [/STM2-CFG31/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,231: +PUB [/rosout_agg] /rosout http://10.0.0.166:38923/
[rosmaster.master][INFO] 2019-05-31 19:34:59,231: +PARAM [/STM2-CFG38/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,232: +PARAM [/STM2-CFG30/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,233: +PARAM [/STM2-CFG62/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,233: +PARAM [/STM2-CFG62/desc] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,235: +PARAM [/STM2-CFG42/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,236: +PARAM [/STM2-CFG04/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,236: +PARAM [/STM2-CFG39/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,237: +PARAM [/STM2-CFG32/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,238: +PARAM [/STM2-CFG40/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,239: +PARAM [/STM2-CFG41/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,240: +PARAM [/STM2-CFG30/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,241: +PARAM [/STM2-CFG61/class] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,242: +PARAM [/STM2-CFG33/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,243: +PARAM [/STM2-CFG61/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,245: +PARAM [/STM2/QUEUE2/name] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,245: +PARAM [/STM2-CFG37/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,246: +PARAM [/STM2/QUEUE2/rw] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,246: +PARAM [/STM2-CFG04/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,248: +PARAM [/STM1/port] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,249: +PARAM [/STM2-CFG03/class] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,250: +SUB [/rosout] /rosout http://10.0.0.166:38923/
[rosmaster.master][INFO] 2019-05-31 19:34:59,251: +PARAM [/STM2-CFG41/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,252: +PARAM [/STM2-CFG35/class] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,253: +PARAM [/STM2-CFG40/class] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,253: +PARAM [/STM2-CFG34/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,253: +PARAM [/STM1/desc] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,253: +PARAM [/STM2-CFG60/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,254: +PARAM [/STM1/QUEUE1/rw] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,254: +PARAM [/STM2-CFG05/desc] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,254: +PARAM [/STM2-CFG06/class] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,255: +PARAM [/STM2-CFG81/prot_in] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,255: +PARAM [/STM2-CFG81/prot_out] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,255: +PARAM [/STM2-CFG03/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,256: +PARAM [/STM4/listener] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,256: +PARAM [/STM2-CFG38/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,256: +PARAM [/STM2-CFG63/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,256: +PARAM [/STM2-CFG60/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,257: +PARAM [/STM2/QUEUE2/type] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,257: +PARAM [/STM2-CFG08/class] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,257: +PARAM [/STM2-CFG40/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,257: +PARAM [/STM2-CFG30/desc] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,258: +PARAM [/STM2-CFG07/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,258: +PARAM [/STM2-CFG63/desc] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,258: +PARAM [/STM2-CFG41/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,258: +PARAM [/STM2-CFG04/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,259: +PARAM [/STM2-CFG35/desc] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,259: +PARAM [/STM2-CFG36/class] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,259: +PARAM [/STM4/port] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,260: +PARAM [/STM2-CFG06/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,260: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,260: +PARAM [/STM2-CFG41/desc] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,260: +PARAM [/STM2-CFG63/id] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,261: +PARAM [/STM2-CFG39/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,261: +PARAM [/STM2-CFG08/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,261: +PARAM [/STM2-CFG42/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-05-31 19:34:59,261: +PARAM [/STM4/type] by /roslaunch
