[rosmaster.main][INFO] 2019-06-03 09:37:18,988: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-03 09:37:18,988: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-03 09:37:18,993: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-06-03 09:37:18,994: Started XML-RPC server [http://10.0.0.166:11311/]
[rosmaster.master][INFO] 2019-06-03 09:37:18,995: Master initialized: port[11311], uri[http://10.0.0.166:11311/]
[xmlrpc][INFO] 2019-06-03 09:37:18,995: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-03 09:37:19,079: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:37:19,084: +PARAM [/roslaunch/uris/host_10_0_0_166__35223] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:37:19,529: +SERVICE [/rosout/get_loggers] /rosout http://10.0.0.166:46786/
[rosmaster.master][INFO] 2019-06-03 09:37:19,532: +SERVICE [/rosout/set_logger_level] /rosout http://10.0.0.166:46786/
[rosmaster.master][INFO] 2019-06-03 09:37:19,620: +PARAM [/STM2-CFG35/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:37:19,623: +PUB [/rosout_agg] /rosout http://10.0.0.166:46786/
[rosmaster.master][INFO] 2019-06-03 09:37:19,623: +PARAM [/STM2-CFG32/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:37:19,624: +PARAM [/STM2-CFG07/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:37:19,625: +PARAM [/STM2-CFG07/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:37:19,627: +PARAM [/STM2-CFG03/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:37:19,628: +PARAM [/STM2-CFG30/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:37:19,629: +PARAM [/STM2-CFG32/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:37:19,629: +PARAM [/STM2-CFG34/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:37:19,629: +PARAM [/STM2-CFG37/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:37:19,631: +PARAM [/STM2-CFG33/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-03 09:37:19,632: +PARAM [/STM2/retry] by /roslaunch
