[rosmaster.main][INFO] 2019-06-09 11:03:44,919: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-06-09 11:03:44,920: Starting ROS Master Node
[xmlrpc][INFO] 2019-06-09 11:03:44,925: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2019-06-09 11:03:44,928: Master initialized: port[11311], uri[http://10.0.0.166:11311/]
[xmlrpc][INFO] 2019-06-09 11:03:44,927: Started XML-RPC server [http://10.0.0.166:11311/]
[xmlrpc][INFO] 2019-06-09 11:03:44,928: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-06-09 11:03:45,006: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-06-09 11:03:45,010: +PARAM [/roslaunch/uris/host_10_0_0_166__45489] by /roslaunch
[rosmaster.master][INFO] 2019-06-09 11:03:45,583: +PARAM [/STM2-CFG35/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-09 11:03:45,584: +PARAM [/STM2-CFG32/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-09 11:03:45,584: +PARAM [/STM2-CFG07/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-09 11:03:45,586: +SERVICE [/rosout/get_loggers] /rosout http://10.0.0.166:40472/
[rosmaster.master][INFO] 2019-06-09 11:03:45,586: +PARAM [/STM2-CFG07/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-09 11:03:45,588: +PARAM [/STM2-CFG03/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-09 11:03:45,588: +PARAM [/STM2-CFG30/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-09 11:03:45,590: +SERVICE [/rosout/set_logger_level] /rosout http://10.0.0.166:40472/
[rosmaster.master][INFO] 2019-06-09 11:03:45,590: +PARAM [/STM2-CFG32/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-09 11:03:45,591: +PARAM [/STM2-CFG34/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-09 11:03:45,592: +PARAM [/STM2-CFG37/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-09 11:03:45,594: +PARAM [/STM2-CFG33/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-09 11:03:45,595: +PARAM [/STM2/retry] by /roslaunch
[rosmaster.master][INFO] 2019-06-09 11:03:45,596: +PARAM [/STM2-CFG31/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-09 11:03:45,596: +PARAM [/STM2-CFG38/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-09 11:03:45,598: +PUB [/rosout_agg] /rosout http://10.0.0.166:40472/
[rosmaster.master][INFO] 2019-06-09 11:03:45,598: +PARAM [/STM2-CFG30/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-09 11:03:45,599: +PARAM [/STM2-CFG62/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-09 11:03:45,600: +PARAM [/STM2-CFG62/desc] by /roslaunch
[rosmaster.master][INFO] 2019-06-09 11:03:45,601: +PARAM [/STM2-CFG42/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-09 11:03:45,602: +PARAM [/STM2-CFG04/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-09 11:03:45,603: +PARAM [/STM2-CFG39/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-09 11:03:45,605: +PARAM [/STM2-CFG32/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-09 11:03:45,606: +PARAM [/STM2-CFG40/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-09 11:03:45,607: +PARAM [/STM2-CFG41/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-09 11:03:45,609: +PARAM [/STM2-CFG30/ioPorts] by /roslaunch
[rosmaster.master][INFO] 2019-06-09 11:03:45,610: +PARAM [/STM2-CFG61/class] by /roslaunch
[rosmaster.master][INFO] 2019-06-09 11:03:45,612: +PARAM [/STM2-CFG33/msgClass] by /roslaunch
[rosmaster.master][INFO] 2019-06-09 11:03:45,613: +PARAM [/STM2-CFG61/msgId] by /roslaunch
[rosmaster.master][INFO] 2019-06-09 11:03:45,615: +PARAM [/STM2/QUEUE2/name] by /roslaunch
[rosmaster.master][INFO] 2019-06-09 11:03:45,616: +PARAM [/STM2-CFG37/id] by /roslaunch
[rosmaster.master][INFO] 2019-06-09 11:03:45,618: +SUB [/rosout] /rosout http://10.0.0.166:40472/
[rosmaster.master][INFO] 2019-06-09 11:03:45,618: +PARAM [/STM2/QUEUE2/rw] by /roslaunch
